Added,Category,External Link,Framework,Domain,Practice,Title,Description,XML Definition
FALSE,User Sessions,,FISMA,AC - Access Control,AC-12,Session Terminations by Destination User,Displays Session Terminations based on user,"<panel>

  <title>Session Terminations</title>

 <input type=""multiselect"" token=""user_tok"" searchWhenChanged=""true"">

  <label>Select user(s)</label>

  <choice value=""*"">All</choice>

  <default>*</default>

  <prefix>(</prefix>

  <suffix>)</suffix>

  <valuePrefix>User_Logoff.user=""</valuePrefix>

  <valueSuffix>""</valueSuffix>

  <delimiter> OR </delimiter>

  <fieldForLabel>user</fieldForLabel>

  <fieldForValue>user</fieldForValue>

  <search>

  <query>| tstats count from datamodel=User_Sessions where nodename=User_Logoff by User_Logoff.user | rename User_Logoff.user as user</query>

  <earliest>-30d@d</earliest>

  <latest>now</latest>

  </search>

  </input>

  <input type=""multiselect"" token=""dest_tok"" searchWhenChanged=""true"">

  <label>Destination machine</label>

  <choice value=""*"">All</choice>

  <default>*</default>

  <prefix>(</prefix>

  <suffix>)</suffix>

  <valuePrefix>User_Logoff.dest=""</valuePrefix>

  <valueSuffix>""</valueSuffix>

  <delimiter> OR </delimiter>

  <fieldForLabel>dest</fieldForLabel>

  <fieldForValue>dest</fieldForValue>

  <search>

  <query>| tstats count from datamodel=User_Sessions where nodename=User_Logoff by User_Logoff.dest | rename User_Logoff.dest as dest</query>

  <earliest>-30d@d</earliest>

  <latest>now</latest>

  </search>

  </input>

  <chart>

  <search>

  <query>| tstats count from datamodel=User_Sessions where nodename=User_Logoff $user_tok$ $dest_tok$ by User_Logoff.user, User_Logoff.dest, _time span=1s | rename User_Logoff.user as user User_Logoff.dest as dest | eval dest_user=user.""@"".dest | chart limit=15 span=60m count over _time by dest_user useother=f</query>

  <earliest>$time.earliest$</earliest>

  <latest>$time.latest$</latest>

  </search>

  <option name=""charting.axisLabelsX.majorLabelStyle.overflowMode"">ellipsisNone</option>

  <option name=""charting.axisLabelsX.majorLabelStyle.rotation"">-45</option>

  <option name=""charting.axisLabelsY.majorUnit"">1</option>

  <option name=""charting.axisTitleX.visibility"">collapsed</option>

  <option name=""charting.axisTitleY.visibility"">collapsed</option>

  <option name=""charting.axisTitleY2.visibility"">visible</option>

  <option name=""charting.axisX.abbreviation"">none</option>

  <option name=""charting.axisX.scale"">linear</option>

  <option name=""charting.axisY.abbreviation"">none</option>

  <option name=""charting.axisY.scale"">linear</option>

  <option name=""charting.axisY2.abbreviation"">none</option>

  <option name=""charting.axisY2.enabled"">0</option>

  <option name=""charting.axisY2.scale"">inherit</option>

  <option name=""charting.chart"">column</option>

  <option name=""charting.chart.bubbleMaximumSize"">50</option>

  <option name=""charting.chart.bubbleMinimumSize"">10</option>

  <option name=""charting.chart.bubbleSizeBy"">area</option>

  <option name=""charting.chart.nullValueMode"">gaps</option>

  <option name=""charting.chart.showDataLabels"">none</option>

  <option name=""charting.chart.sliceCollapsingThreshold"">0.01</option>

  <option name=""charting.chart.stackMode"">default</option>

  <option name=""charting.chart.style"">shiny</option>

  <option name=""charting.drilldown"">none</option>

  <option name=""charting.layout.splitSeries"">0</option>

  <option name=""charting.layout.splitSeries.allowIndependentYRanges"">0</option>

  <option name=""charting.legend.labelStyle.overflowMode"">ellipsisMiddle</option>

  <option name=""charting.legend.mode"">standard</option>

  <option name=""charting.legend.placement"">bottom</option>

  <option name=""charting.lineWidth"">2</option>

  <option name=""refresh.display"">progressbar</option>

  <option name=""trellis.enabled"">0</option>

  <option name=""trellis.scales.shared"">1</option>

  <option name=""trellis.size"">medium</option>

  </chart>

  </panel>"
FALSE,User Sessions,,FISMA,AC - Access Control,AC-12,Session Termination - Table,Displays a table of Session Terminations by User and Destination,"<panel>

  <title>Session Terminations</title>

 <input type=""multiselect"" token=""user_tok"" searchWhenChanged=""true"">

  <label>Select user(s)</label>

  <choice value=""*"">All</choice>

  <default>*</default>

  <prefix>(</prefix>

  <suffix>)</suffix>

  <valuePrefix>User_Logoff.user=""</valuePrefix>

  <valueSuffix>""</valueSuffix>

  <delimiter> OR </delimiter>

  <fieldForLabel>user</fieldForLabel>

  <fieldForValue>user</fieldForValue>

  <search>

  <query>| tstats count from datamodel=User_Sessions where nodename=User_Logoff by User_Logoff.user | rename User_Logoff.user as user</query>

  <earliest>-30d@d</earliest>

  <latest>now</latest>

  </search>

  </input>

  <input type=""multiselect"" token=""dest_tok"" searchWhenChanged=""true"">

  <label>Destination machine</label>

  <choice value=""*"">All</choice>

  <default>*</default>

  <prefix>(</prefix>

  <suffix>)</suffix>

  <valuePrefix>User_Logoff.dest=""</valuePrefix>

  <valueSuffix>""</valueSuffix>

  <delimiter> OR </delimiter>

  <fieldForLabel>dest</fieldForLabel>

  <fieldForValue>dest</fieldForValue>

  <search>

  <query>| tstats count from datamodel=User_Sessions where nodename=User_Logoff by User_Logoff.dest | rename User_Logoff.dest as dest</query>

  <earliest>-30d@d</earliest>

  <latest>now</latest>

  </search>

  </input>

  <table>

  <search>

  <query>| tstats count from datamodel=User_Sessions where nodename=User_Logoff $user_tok$ $dest_tok$ by User_Logoff.user, User_Logoff.dest, _time span=1s | eval Time=strftime(_time,""%m/%d/%y %H:%M:%S"") | rename User_Logoff.user as User User_Logoff.dest as Destination | table Time User Destination | sort -Time</query>

  <earliest>$time.earliest$</earliest>

  <latest>$time.latest$</latest>

  </search>

  <option name=""count"">20</option>

  <option name=""drilldown"">row</option>

  <option name=""percentagesRow"">false</option>

  <option name=""refresh.display"">progressbar</option>

  <option name=""rowNumbers"">true</option>

  <option name=""totalsRow"">false</option>

  </table>

  </panel>"
FALSE,Change,,CMMC,Access Control,AC.1.001,Account Activity Overview - 20 Most Common Account Management Events,Displays 20 most common account management events,"<panel>

  <title>Account Activity Overview - 20 Most Common Account Management Events</title>

  <table>

  <search>

  <query>| tstats count from datamodel=Change where nodename=All_Changes.Account_Management by All_Changes.result, All_Changes.dest, All_Changes.user

 | rename All_Changes.user as user, All_Changes.result as subject, All_Changes.dest as host

 | eventstats sum(count) as percent

 | eval percent=round(count*100/percent,2)

 | stats sum(count) as count by subject, host, user, percent

 | table subject, host, user, count, percent | sort 20 -count | rename subject as Subject, host as Host, user as User, count as Count, percent as Percent</query>

  <earliest>$time_tok.earliest$</earliest>

  <latest>$time_tok.latest$</latest>

  </search>

  <option name=""count"">10</option>

  <option name=""dataOverlayMode"">none</option>

  <option name=""drilldown"">none</option>

  <option name=""percentagesRow"">false</option>

  <option name=""rowNumbers"">false</option>

  <option name=""totalsRow"">false</option>

  <option name=""wrap"">true</option>

  </table>

  </panel>"
FALSE,Change,,CMMC,Access Control,AC.1.001,Account Activity - 20 Least Common Account Management Events,Displays 20 least common account management events,"<panel>

  <title>Account Activity - 20 Least Common Account Management Events</title>

  <table>

  <search>

  <query>| tstats count from datamodel=Change where nodename=All_Changes.Account_Management by All_Changes.result, All_Changes.dest, All_Changes.user

 | rename All_Changes.user as user, All_Changes.result as subject, All_Changes.dest as host

 | eventstats sum(count) as percent

 | eval percent=round(count*100/percent,2)

 | stats sum(count) as count by subject, host, user, percent

 | table subject, host, user, count, percent | sort 20 count | rename subject as Subject, host as Host, user as User, count as Count, percent as Percent</query>

  <earliest>$time_tok.earliest$</earliest>

  <latest>$time_tok.latest$</latest>

  </search>

  <option name=""count"">10</option>

  <option name=""dataOverlayMode"">heatmap</option>

  <option name=""drilldown"">none</option>

  <option name=""percentagesRow"">false</option>

  <option name=""rowNumbers"">false</option>

  <option name=""totalsRow"">false</option>

  <option name=""wrap"">true</option>

  </table>

  </panel>"
FALSE,Change,,CMMC,Access Control,AC.1.001,Account Creation Activity by Host,Displays account creation activity by host,"<panel>

  <title>Account Creation Activity by Host</title>

  <table>

  <search>

  <query>| tstats count from datamodel=Change where All_Changes.action=created All_Changes.Account_Management.src_user=* by All_Changes.user, All_Changes.Account_Management.src_user, All_Changes.action, All_Changes.dest

 | rename All_Changes.Account_Management.src_user as src_user, All_Changes.user as user, All_Changes.action as action, All_Changes.dest as host

 | table host action, user, src_user

 | rename host as Host, action as Action user as User, src_user as ""Performing User""</query>

  <earliest>$time_tok.earliest$</earliest>

  <latest>$time_tok.latest$</latest>

  </search>

  <option name=""count"">10</option>

  <option name=""dataOverlayMode"">none</option>

  <option name=""drilldown"">none</option>

  <option name=""percentagesRow"">false</option>

  <option name=""refresh.display"">progressbar</option>

  <option name=""rowNumbers"">false</option>

  <option name=""totalsRow"">false</option>

  <option name=""wrap"">true</option>

  </table>

  </panel>"
FALSE,Change,,CMMC,Access Control,AC.1.001,Account Deletion Activity by Host,Displays account deletion activity by host,"<panel>

  <title>Account Deletion Activity by Host</title>

  <table>

  <search>

  <query>| tstats count from datamodel=Change where All_Changes.action=deleted All_Changes.Account_Management.src_user=* by All_Changes.user, All_Changes.Account_Management.src_user All_Changes.action All_Changes.dest

 | rename All_Changes.user as user, All_Changes.Account_Management.src_user as src_user, All_Changes.action as action, All_Changes.dest as host

 | table host action, user, src_user

 | rename host as Host, action as Action user as User, src_user as ""Performing User""</query>

  <earliest>$time_tok.earliest$</earliest>

  <latest>$time_tok.latest$</latest>

  </search>

  <option name=""count"">10</option>

  <option name=""dataOverlayMode"">none</option>

  <option name=""drilldown"">none</option>

  <option name=""percentagesRow"">false</option>

  <option name=""refresh.display"">progressbar</option>

  <option name=""rowNumbers"">false</option>

  <option name=""totalsRow"">false</option>

  <option name=""wrap"">true</option>

  </table>

  </panel>"
FALSE,Network Traffic,,CMMC,Access Control,AC.1.002,20 Most Common Mac Addresses,Displays a table of 20 most common MAC addresses,"<panel>

  <title>20 Most Common Mac Addresses</title>

  <table>

  <search>

  <query>| tstats count from datamodel=Network_Traffic where nodename=All_Traffic by All_Traffic.dest_mac All_Traffic.user

 | sort 20 -count

 | rename ""All_Traffic.dest_mac"" as ""Mac Destination"", ""All_Traffic.user"" as User, count as Count</query>

  <earliest>$time_tok.earliest$</earliest>

  <latest>$time_tok.latest$</latest>

  </search>

  <option name=""count"">10</option>

  <option name=""drilldown"">none</option>

  </table>

  </panel>"
FALSE,Network Traffic,,CMMC,Access Control,AC.1.002,20 Least Common Mac Addresses,Displays a table of 20 least common MAC addresses,"<panel>

  <title>20 Least Common Mac Addresses</title>

  <table>

  <search>

  <query>| tstats count from datamodel=Network_Traffic where nodename=All_Traffic by All_Traffic.dest_mac All_Traffic.user

 | sort 20 count

 | rename ""All_Traffic.dest_mac"" as ""Mac Destination"", ""All_Traffic.user"" as User, count as Count</query>

  <earliest>$time_tok.earliest$</earliest>

  <latest>$time_tok.latest$</latest>

  </search>

  <option name=""count"">10</option>

  <option name=""drilldown"">none</option>

  </table>

  </panel>"
FALSE,Authentication,,CMMC,Access Control,AC.1.002,Success Logins - All Accounts,Success Logins - All Accounts,"<panel>

  <title>Success Logins - All Accounts</title>

  <table>

  <search>

  <query>| tstats count from datamodel=Authentication where nodename=Authentication.Successful_Authentication by Authentication.user, Authentication.src, Authentication.dest, _time

 | rename Authentication.src as ""Source IP"", Authentication.user as User Authentication.dest as ""Destination IP""

 | stats count as Count by User, ""Source IP"", ""Destination IP""</query>

  <earliest>$time_tok.earliest$</earliest>

  <latest>$time_tok.latest$</latest>

  </search>

  <option name=""count"">10</option>

  <option name=""drilldown"">none</option>

  </table>

  </panel>"
FALSE,Authentication,,CMMC,Access Control,AC.1.002,Failed Logins - All Accounts,Failed Logins - All Accounts,"<panel>

  <title>Failed Logins - All Accounts</title>

  <table>

  <search>

  <query>| tstats count from datamodel=Authentication where nodename=Authentication.Failed_Authentication by Authentication.user, Authentication.src, Authentication.dest, _time

 | rename Authentication.src as ""Source IP"", Authentication.user as User Authentication.dest as ""Destination IP""

 | stats count as Count by User, ""Source IP"", ""Destination IP""</query>

  <earliest>$time_tok.earliest$</earliest>

  <latest>$time_tok.latest$</latest>

  </search>

  <option name=""count"">10</option>

  <option name=""drilldown"">none</option>

  <option name=""refresh.display"">progressbar</option>

  </table>

  </panel>"
