description,type,severity
Scan resumed on all drives and all extensions.,alert,
This device is not licensed for Memory Exploit Mitigation Custom Applications.,alert,
Symantec Endpoint Protection is overdeployed,alert,informational
User is attempting to terminate Symantec Management Client*,alert,
Already running process*,alert,
Information submitted to Symantec.*,alert,
Symantec Endpoint Protection requires a restart*,alert,
[SONAR detection Submission] File submitted to Symantec*,alert,
Host Integrity check passed*,event,
Sending Email Failed*,alert,medium
[Network data submission] Information submitted to Symantec*,alert,
[Intrusion prevention submission] Information submitted to Symantec*,alert,
[Client authentication token request] Submitting information to Symantec*,alert,
[SONAR heuristic Submission] File submitted to Symantec for analysis*,event,
[Network heartbeat submission] Information submitted to Symantec*,event,
[File reputation submission] Information submitted to Symantec*,event,
[Antivirus advanced heuristic detection submission] File submitted to Symantec for analysis*,event,
Symantec Endpoint Protection is unable to download the newest policy from the management server.,event,
Symantec Endpoint Protection has determined that the virus*,alert,
Please restart*,alert,
Cannot assign a client authentication token*,alert,
LiveUpdate is ready.,event,medium
Reconnected to server after server was unreachable.,event,informational
An update for Browser Extension Win64 was successfully installed*,alert,medium
Scheduled LiveUpdate switched to configured interval.,event, medium
The latest Browser Extension Win64 update failed to load.*,warning,medium
Virus and Spyware Definitions were updated recently*,event,medium
Client activity logs have been swept.,event,
LiveUpdate successfully updated the content.*,event,informational
No updates found for AP Portal List*,event,
Rebuilding indexes*,event,
Successfully downloaded the Advanced Machine Learning*The security definitions are now available for deployment.,alert,
Device Manager Message Disabled the device.*,event,
