field,info,description,url
acceleration_id,,,
action,The action in Splunk for which the audit log relates to. In this confluence page we are only concerned with action=search,,
active_archive_license,Cloudstorage_PurchaseArchiveingb,"The total archive storage they have purchased, in blocks (multiple by 500 to get the total archive license in gb)",
activeArchiveLicenseGB,,Total GBs of archive storage a customer is entitled to based on active_archive_license*500,
activeStorageLicenseGB,,Total GBs of archive storage a customer is entitled to based on ingest_entitlement*90 + purchased_storage_blocks*500,
api_et,"The earliest time of the searched time window, as defined by the time range picker or the dispatch.earliest setting in savedsearches.conf. Represented in epoch time. ",,
api_index_et,"This is the _indextime earliest time of the search, as provided to the Splunk search Jobs REST API endpoint",,
api_index_lt,"This is the _indextime latest time of the search, as provided to the Splunk search Jobs REST API endpoint",,
api_lt,"The latest time of the searched time window, as defined by the time range picker or the dispatch.latest setting in savedsearches.conf. Represented in epoch time. ",,
apiEndTime,,,
apiIndexEndTime,,,
apiIndexStartTime,,,
apiStartTime,,,
App,Identifies from which app the search was run,,
archiveUsage,Shows up as utilized storage,Total utilized archive storage,
archiveUsage,Shows up in the Index Storage Usage Details panel of the Archive Storage dashboard,Total Volume of archived data on this stack,
available_count,"The number of EVENTS available for export. NOTE: This is not the number of RESULTS available for export but rather the number of EVENTS. Therefore, when running in smart mode or fast mode and performing a transforming search such as stats or timechart then the available_count will always be 0, because there are no events available. When running in verbose mode, and performing a stats or timechart, then the available_count will show you how many EVENTS you can export from the completed search.",,
CMC,The Cloud Monitoring Console (CMC) lets Splunk Cloud Platform administrators view information about the status and performance of their Splunk Cloud Platform deployment at a glance.,Cloud Monitoring Console,https://www.splunk.com/en_us/blog/platform/access-the-cloud-monitoring-console-from-anywhere.html
considered_events,The total number of events in the searched buckets,,
Custom,,Custom or other cost,
DDAA,Splunk Cloud Index Archiving AWS S3 Glacier Bucket.  Its an optional subscription. DDAA offers a lower cost option for long term storage of your ingested data. Can be restored to DDAS to be searched,Dynamic Data: Active Archive,https://www.splunk.com/en_us/blog/platform/dynamic-data-data-retention-options-in-splunk-cloud.html
DDAS,Used for searching ingested data. DDAS is also commonly known as searchable storage or Local Storage including Splunk Cloud Smartstore,Dynamic Data: Active Searchable,https://www.splunk.com/en_us/blog/platform/dynamic-data-data-retention-options-in-splunk-cloud.html
DDSS,"Customer Own Index Archiving Self Storage AWS S3 Bucket.  You can also export your aged data from Splunk Cloud Platform. If you enable Dynamic Data Self-Storage (DDSS) to export your aged ingested data, the oldest data is moved to your Amazon S3 or Google Cloud Storage account in the same region as your Splunk Cloud Platform deployment before it is deleted from the index.  Note the following:  You are responsible for payments for your use of Amazon S3 or Google Cloud Storage. Aged data is exported unencrypted to your Amazon S3 or Google Cloud Storage account",Dynamic Data: Self-Storage,https://docs.splunk.com/Documentation/SplunkCloud/latest/Service/SplunkCloudservice  https://www.splunk.com/en_us/blog/platform/dynamic-data-self-storage-compliance-cloud-and-data-lifecycle.html
decompressed_slices,"How many slices were decompressed to fetch the raw events from (i.e., after searching in tsidx, we know exactly which slices to decompress to get the raw events). The larger the difference between this field and total_slices, the sparser the search. Slices: Collection of compressed (gzipped) blocks, called slices, Concatenated together in a rawdata/journal.gz Think “cat chunkA.gzchunkB.gz...chunkN.gz> journal.gz”). Slices contain the actual raw events.  Pool of concatenated slices allows be seeked into Locations offsets are pointed to by the values array pointers in tsidx.  Such organization allows us to zoom in to the right slice reduces the amount of decompression time & volume compared to having a single, massive rawdatafile.",,
Docs,docs.splunk.com,Official Document,https://docs.splunk.com/Documentation/ChargebackApp/current/Use/Overview
Docs,.conf,"PLA1573C - Data Driven Splunk Analytics, Chargeback and Administration at Scale",https://conf.splunk.com/files/2021/slides/PLA1573C.pdf
Docs,.conf,"PLA1573C - Data Driven Splunk Analytics, Chargeback and Administration at Scale [Video]",https://conf.splunk.com/files/2021/recordings/PLA1573C.mp4
Docs,Lantern Article,Showing the value of your Splunk deployment,https://lantern.splunk.com/Splunk_Success_Framework/Program_Management/Showing_the_value_of_your_Splunk_deployment
Docs,Lantern Article,Optimizing search in Splunk Cloud Platform,https://lantern.splunk.com/Splunk_Platform/Product_Tips/Cloud_Platform/Optimizing_search_in_Splunk_Cloud_Platform
Docs,Lantern Article,Optimizing search in Splunk Enterprise,https://lantern.splunk.com/Splunk_Platform/Product_Tips/Enterprise/Optimizing_search_in_Splunk_Enterprise
Docs,Lantern Article,Data management overview,https://lantern.splunk.com/Splunk_Success_Framework/Data_Management/Data_management_overview
Docs,Splunk Blog,[Blog] - Introducing Splunk App for Chargeback,https://www.splunk.com/en_us/blog/platform/introducing-splunk-app-for-chargeback.html
drop_count,"For real-time searches only, the number of possible events that were dropped due to the rt_queue_size (defaults to 100,000)",,
duration.command.search.index,"Indicates the time spent crawling the TSIDX/metadata files for the search, both for buckets in cache and also for buckets downloading from SmartStore.  Please note, this is cumulative across all the indexers. So if 3 indexers each take 500ms, then the value here may be 1,500ms",,
duration.command.search.index.bucketcache.hit,"Indicates the time spent crawling the TSIDX/metadata files for the search in local cache.  This is cumulative across all the indexers. So if 3 indexers each take 500ms, then the value here may be 1,500ms",,
duration.command.search.index.bucketcache.miss,"Indicates the time spent downloading the required TSIDX/metadata files for the search from SmartStore Please note this is cumulative across all the indexers. So if 3 indexers each take 500ms, then the value here may be 1,500ms",,
duration.command.search.rawdata,"Indicates the time spent crawling and opening or downloading the required raw data (journal) files for the search from local cache & from SmartStore.  This is cumulative across all the indexers. So if 3 indexers each take 500ms, then the value here may be 1,500ms.",,
duration.command.search.rawdata.bucketcache.hit,"Indicates the time spent crawling and opening the required raw data (journal) files for the search from local cache.  This is cumulative across all the indexers. So if 3 indexers each take 500ms, then the value here may be 1,500ms",,
duration.command.search.rawdata.bucketcache.miss,"Indicates the time spent downloading the required raw data (journal) files for the search from SmartStore.  This is cumulative across all the indexers. So if 3 indexers each take 500ms, then the value here may be 1,500ms.",,
earliest,,Earliest event that was archived on this index,
eliminated_buckets,The number of buckets eliminated by the bloom filters,,
endEpoch,,Maps to the newest event on the index,
event_count,"The number of events returned by the search. In other words, this is the subset of scanned events (represented by the scan_count) that actually matches the search terms. Count of events that were matched after the application of the knowledge objects",,
eventCount,,Total events on that index,
exec_time,The epoch time that the search was executed,,
fd_used,File Descriptors,,
federated_guid,,,
federated_server_name,,,
federated_sid,,,
federated_user,,,
federated_version,,,
