alert,object,ds_action,description,severity,severity_id
Bulk envelopes sent,Alert,TooManyBulkSendsInitiated,Occurs when a user successfully initiates a bulk envelope send,high,3
Unusual document download volume,Alert,TooManyDocumentsDownloaded,Occurs when a user downloads 20 or more documents in an hour,medium,2
Unusual envelope creation volume,Alert,TooManyEnvelopesCreated,Occurs when a user creates 20 or more envelopes in an hour,medium,2
Unusual envelope send volume,Alert,TooManyEnvelopesSent,Occurs when a user sends 20 or more envelopes in an hour,medium,2
Unusual envelope signing volume,Alert,TooManyEnvelopesSigned,Occurs when a user signs 20 or more envelopes in an hour,medium,2
Unusual envelope deletion volume,Alert,TooManyEnvelopesDeleted,Occurs when a user deletes 20 or more envelopes in an hour,medium,2
Password changed from new location,Alert,PasswordChangedFromNewLocation,Occurs when a user changes their password from a new location that is 200km or more away from a prior login location.,high,3
Simultaneous login,Alert,ImpossibleTravel,Occurs when a user logs in multiple times in the past 60 minutes at two different locations more than 100km apart,high,3
Recipient authentication disabled,Alert,RecipientAuthDisabled,Occurs when an account’s security policy is updated to disable recipient authentication,high,3
Multiple login failures,Alert,TooManyLoginFailures,Occurs when a user has 6 or more login failures in an hour,high,3
Bulk accounts export,Alert,BulkAccountsExport,Occurs when bulk settings export has been initiated,medium,2
Bulk users export,Alert,BulkUsersExport,Occurs when bulk user export has been initiated,medium,2
Password rules changed,Alert,PasswordRulesChanged,Alert generated when an account's password rules are modified,high,3
SSO login policy changed,Alert,SSOLoginPolicyChanged,Alert generated when the SSO login policy of a claimed domain is changed,high,3
Document retention policy changed,Alert,DocumentRetentionPolicyChanged,Alert generated when an account's document retention policy is changed,high,3
Delegated administrator assigned,Alert,DelegatedAdministratorAssigned,Alert generated when an account administrator has been assigned,medium,2
Same signer and sender,Alert,SameSenderAndSigner,Alert generated when signer and sender are same,medium,2
Unauthorized IP address activity,Alert,IpAddressOutsideAllowedRanges,Alert generated when unauthorized IP address activity,medium,2
Non-domain member activity,Alert,NonDomainMemberActivity,Alert generated when non-domain member performs an activity,medium,2
Autoplace scope changed,Alert,AutoplaceScopeChanged,Alert generated when autoplace scope changed,medium,2
SSO bypass enabled for user,Alert,SSOBypass,Alerts when an organization user's security setting is set to allow username/password login,medium,2
Legal disclosure settings changed,Alert,LegalDisclosureSettingsChanged,Alert generated when legal disclosure settings changed,medium,2
Watermark configuration changed,Alert,WatermarkConfigurationChanged,Alert generated when watermark configuration changed,medium,2
Credential leak detected,Alert,CredentialLeakDetected,Alert generated when any login Credential leak detected,medium,2
Unusual CLM document download volume,Alert,ClmTooManyDocumentsDownloaded,Alert generated when unusual CLM document download volume,medium,2
Unusual CLM document deletion volume,Alert,ClmTooManyDocumentsDeleted,Alert generated when unusual CLM document deletion volume,medium,2
CLM folder security modified,Alert,ClmSecuritySettingModified,Alert generated when CLM security setting modified,medium,2
CLM workflow options modified,Alert,ClmWorkflowOptionsModified,Alert generated when CLM workflow options modified,medium,2
Unusual CLM contract deletion volume,Alert,ClmTooManyContractsDeleted,Alerts when a user deletes more than 20 contracts in a day,medium,2
New proxy usage,Alert,NewProxyUsage,Alerts when new proxied traffic is detected,medium,2
