Reason_Code,Reason_ID,reason
00,IAS_SUCCESS,"Success"
01,IAS_INTERNAL_ERROR,"Internal error"
02,IAS_ACCESS_DENIED,"Access denied"
03,IAS_MALFORMED_REQUEST,"Malformed request"
04,IAS_GLOBAL_CATALOG_UNAVAILABLE,"Global catalog unavailable"
05,IAS_DOMAIN_UNAVAILABLE,"Domain unavailable"
06,IAS_SERVER_UNAVAILABLE,"Server unavailable"
07,IAS_NO_SUCH_DOMAIN,"No such domain"
08,IAS_NO_SUCH_USER,"No such user"
16,IAS_AUTH_FAILURE,"Authentication failure"
17,IAS_CHANGE_PASSWORD_FAILURE,"Password change failure"
18,IAS_UNSUPPORTED_AUTH_TYPE,"Unsupported authentication type"
19,IAS_XXX,"No reversibly encrypted password is stored for the user account"
32,IAS_LOCAL_USERS_ONLY,"Local users only"
33,IAS_PASSWORD_MUST_CHANGE,"Password must be changed"
34,IAS_ACCOUNT_DISABLED,"Account disabled"
35,IAS_ACCOUNT_EXPIRED,"Account expired"
36,IAS_ACCOUNT_LOCKED_OUT,"Account locked out"
37,IAS_INVALID_LOGON_HOURS,"Invalid logon hours"
38,IAS_ACCOUNT_RESTRICTION,"Account restriction"
48,IAS_NO_POLICY_MATCH,"Did not match remote access policy"
49,IAS_XXX,"Did not match connection request policy"
64,IAS_DIALIN_LOCKED_OUT,"Dial-in locked out"
65,IAS_DIALIN_DISABLED,"Dial-in disabled"
66,IAS_INVALID_AUTH_TYPE,"Invalid authentication type"
67,IAS_INVALID_CALLING_STATION,"Invalid calling station"
68,IAS_INVALID_DIALIN_HOURS,"Invalid dial-in hours"
69,IAS_INVALID_CALLED_STATION,"Invalid called station"
70,IAS_INVALID_PORT_TYPE,"Invalid port type"
71,IAS_INVALID_RESTRICTION,"Invalid restriction"
80,IAS_NO_RECORD,"No record"
96,IAS_SESSION_TIMEOUT,"Session timed out"
97,IAS_UNEXPECTED_REQUEST,"Unexpected request"
