vendor_action,action,description
unknown,unknown,Take no other action.
allow,allowed,Bypass all subsequent rules.
block,blocked,Block with an HTTP 403 response.
challenge,Challenge Drop,Issue a CAPTCHA challenge.
jschallenge,Challenge Drop,Issue a JS challenge.
log,Log,Take no action other than logging the event.
connectionClose,Close,Close connection.
challengeSolved,allowed,Allow once CAPTCHA challenge solved.
challengeFailed,Drop,Block following invalid CAPTCHA solve attempt.
challengeBypassed,allowed,CAPTCHA challenge is not issued again because the visitor had previously passed a CAPTCHA challenge and a valid cf_clearance cookie is present.
jschallengeSolved,allowed,Allow once JS challenge solved.
jschallengeFailed,Drop,Drop if JS challenge failed.
jschallengeBypassed,allowed,JS challenge not issued because the visitor had previously passed a JS or CAPTCHA challenge.
bypass,allowed,Bypass all subsequent firewall rules.
managedChallenge,Challenge Drop,Issue managed challenge.
managedChallengeNonInteractiveSolved,allowed,Allow once the managed challenge is solved via non-interactive interstitial page.
managedChallengeInteractiveSolved,allowed,Allow once the managed challenged is solved via interactive interstitial page.
managedChallengeBypassed,allowed,Challenge was not presented because visitor had clearance from previous challenge.
