name,dashboard,domain,capability,capability_description,icon,practice_description,expanded_guidance,level,ext_product,ext_link,visible
AC.1.001,AC_1_001_cmmc,Access Control,c001,Establish system access requirements,fas fa-user-lock,"Limit information system access to authorized users, processes acting on behalf of authorized users, or devices (including other information systems).",,1,None,,TRUE
AC.2.005,AC_2_005_cmmc,Access Control,c001,Establish system access requirements,fas fa-user-lock,Provide privacy and secureity notices consistent with applicable Federal Contract Information rules.,,2,None,,TRUE
AC.2.006,AC_2_006_cmmc,Access Control,c001,Establish system access requirements,fas fa-user-lock,Limit use of portable storage devices on external systems.,,2,None,,TRUE
AC.1.002,AC_1_002_cmmc,Access Control,c002,Control internal system access,fas fa-user-lock,Limit information system access to the types of transactions and functions that aurotized users are permitted to execute.,,1,None,,TRUE
AC.2.007,AC_2_007_cmmc,Access Control,c002,Control internal system access,fas fa-user-lock,"Employ the principle of least privilege, including for specific security functions and privileged accounts.",,2,None,,TRUE
AC.2.008,AC_2_008_cmmc,Access Control,c002,Control internal system access,fas fa-user-lock,Use non-privileged accounts or roles when accessing nonsecurity functions.,,2,None,,TRUE
AC.2.009,AC_2_009_cmmc,Access Control,c002,Control internal system access,fas fa-user-lock,Limit unsuccessful logon attempts.,,2,None,,TRUE
AC.2.010,AC_2_010_cmmc,Access Control,c002,Control internal system access,fas fa-user-lock,Use session lock with pattern-hiding displays to prevent access and viewingt of data after a period of inactivity.,,2,None,,TRUE
AC.2.011,AC_2_011_cmmc,Access Control,c002,Control internal system access,fas fa-user-lock,Authorize wireless access prior to allowing such connections.,,2,None,,TRUE
AC.3.017,AC_3_017_cmmc,Access Control,c002,Control internal system access,fas fa-user-lock,Separate the duties of individuals to reduce the risk of malevolent activity without collusion.,,3,None,,TRUE
AC.3.018,AC_3_018_cmmc,Access Control,c002,Control internal system access,fas fa-user-lock,Prevent non-priviledged users from executing priviledged functions and capture the execution of functions in audit logs.,,3,None,,TRUE
AC.3.019,AC_3_019_cmmc,Access Control,c002,Control internal system access,fas fa-user-lock,Terminate (automatically) user sessions after a defined condition.,,3,None,,TRUE
AC.3.012,AC_3_012_cmmc,Access Control,c002,Control internal system access,fas fa-user-lock,Protect wireless access using authentication and encryption.,,3,None,,TRUE
AC.3.020,AC_3_020_cmmc,Access Control,c002,Control internal system access,fas fa-user-lock,Control connection of mobile devices.,,3,None,,TRUE
AC.4.023,AC_4_023_cmmc,Access Control,c002,Control internal system access,fas fa-user-lock,Control information flows between security domains on connected systems.,,4,None,,TRUE
AC.4.025,AC_4_025_cmmc,Access Control,c002,Control internal system access,fas fa-user-lock,Periodically review and update CUI program access permissions.,,4,None,,TRUE
AC.5.024,AC_5_024_cmmc,Access Control,c002,Control internal system access,fas fa-user-lock,Identify and mitigate risk associated with unidentified wireless access points connected to the network.,,5,None,,TRUE
AC.1.003,AC_1_003_cmmc,Access Control,c004,Limit data access to authorized users and processes,fas fa-user-lock,Verify and control/limit connections to and use of external information systems.,,1,None,,TRUE
AC.1.004,AC_1_004_cmmc,Access Control,c004,Limit data access to authorized users and processes,fas fa-user-lock,Control information posted or processed on publicly access information systems.,,1,None,,TRUE
AC.2.013,AC_2_013_cmmc,Access Control,c003,Control remote system access,fas fa-user-lock,Monitor and control remote access sessions.,,2,None,,TRUE
AC.2.015,AC_2_015_cmmc,Access Control,c003,Control remote system access,fas fa-user-lock,Route remote access via managed access control points.,,2,None,,TRUE
AC.2.016,AC_2_016_cmmc,Access Control,c004,Limit data access to authorized users and processes,fas fa-user-lock,Control the flow of CUI in accordance with approved authorizations.,,2,None,,TRUE
AC.3.014,AC_3_014_cmmc,Access Control,c004,Limit data access to authorized users and processes,fas fa-user-lock,Employ cryptographic mechanisms to protect the confidentiality of remote access sessions.,,3,None,,TRUE
AC.3.021,AC_3_021_cmmc,Access Control,c004,Limit data access to authorized users and processes,fas fa-user-lock,Authorize remote execution of privileged commands and remote access to security-relevant information.,,3,None,,TRUE
AC.3.022,AC_3_022_cmmc,Access Control,c004,Limit data access to authorized users and processes,fas fa-user-lock,Encrypt CUI on mobile devices and mobile computing platforms.,,3,None,,TRUE
AC.4.032,AC_4_032_cmmc,Access Control,c004,Control remote system access,fas fa-user-lock,"Restrict remote network access based on organizational defined risk factors such as time of day, location of access, physical location, network connection state, and measured properties of the current user and role.",,4,None,,TRUE
AM.3.036,AM_3_036_cmmc,Asset Management,c005,Identify and document assets,fas fa-boxes,Define procedures for the handling of CUI data.,,3,None,,TRUE
AM.4.226,AM_4_226_cmmc,Asset Management,c005,Identify and document assets,fas fa-boxes,"Employ automated capability to discover and identify systems with specific component attributes (e.g., firmware level, OS type) within your inventory.",,4,None,,TRUE
AU.2.041,AU_2_041_cmmc,Audit and Accountability,c007,Define audit requirements,fas fa-user-circle,Ensure that the actions of individual system users can be uniquely traced to those users so they can be held accountable for their actions.,,2,None,,TRUE
AU.3.045,AU_3_045_cmmc,Audit and Accountability,c007,Define audit requirements,fas fa-user-circle,Review and update logged events.,,3,None,,TRUE
AU.3.046,AU_3_046_cmmc,Audit and Accountability,c007,Define audit requirements,fas fa-user-circle,Alert in the event of an audit logging process failure.,,3,None,,TRUE
AU.2.042,AU_2_042_cmmc,Audit and Accountability,c008,Perform auditing,fas fa-user-circle,"Create and retain system audit logs and records to the extent needed to enable the monitoring, analysis, investigation, and reporting of unlawful or unauthorized system activity.",,2,None,,TRUE
AU.2.043,AU_2_043_cmmc,Audit and Accountability,c008,Perform auditing,fas fa-user-circle,Provide a system capability that compares and synchronized internal system clocks and an authoritative source to generate time stamps for audit records.,,2,None,,TRUE
AU.3.048,AU_3_048_cmmc,Audit and Accountability,c008,Perform auditing,fas fa-user-circle,"Collect audit information (e.g., logs) into one or more central repositories.",,3,None,,TRUE
AU.5.055,AU_5_055_cmmc,Audit and Accountability,c008,Perform auditing,fas fa-user-circle,Identify assets not reporting audit logs and assure appropriate organizationally defined systems are logging.,,5,None,,TRUE
AU.3.049,AU_3_049_cmmc,Audit and Accountability,c009,Identify and protect audit information,fas fa-user-circle,"Protect audit information and audit logging tools from unauthorized access, modificaiton, and deletion.",,3,None,,TRUE
AU.3.050,AU_3_050_cmmc,Audit and Accountability,c009,Identify and protect audit information,fas fa-user-circle,Limit management of audit logging functionality to a subset of privileged users.,,3,None,,TRUE
AU.2.044,AU_2_044_cmmc,Audit and Accountability,c010,Review and manage audit logs,fas fa-user-circle,Review audit logs.,,2,None,,TRUE
AU.3.051,AU_3_051_cmmc,Audit and Accountability,c010,Review and manage audit logs,fas fa-user-circle,"Correlate audit record review, analysis, and reporting processes for investigation and response to indications of unlawful, unauthorized, suspicious, or unusual activity.",,3,Enterprise Security,,TRUE
AU.3.052,AU_3_052_cmmc,Audit and Accountability,c010,Review and manage audit logs,fas fa-user-circle,Provide audit record reduction and report generation to support on-demand analysis and reporting.,,3,None,,TRUE
AU.4.053,AU_4_053_cmmc,Audit and Accountability,c010,Review and manage audit logs,fas fa-user-circle,Automate analysis of audit logs to identify and act on critical indicators (TTPs) and/or organizationally-defined suspicious activity.,,4,None,,TRUE
AU.4.054,AU_4_054_cmmc,Audit and Accountability,c010,Review and manage audit logs,fas fa-user-circle,Review audit information for broad activity in addition to per-machine activity.,,4,Enterprise Security,,TRUE
