Tier,Config,Section,Stanza,Property,Default_Value,New_Value,Unit,Notes,Description,Info
ANY,app.conf,,[install],state,enabled,enabled,,,,
ANY,app.conf,,[package],check_for_updates,false,false,,,,
ANY,app.conf,,[ui],is_manageable,false,false,,,,
ANY,app.conf,,[ui],is_visible,false,false,,,,
ANY,local.meta,,[],access,"read : [ * ], write : [ admin ]","read : [ * ], write : [ admin ]",,,,
ANY,local.meta,,[],export,system,system,,,,
Cluster Managers,inputs.conf,,[monitor://$SPLUNK_HOME/etc/manager-apps/.../*.conf],,,disabled = 0\nindex = ia4s_summary\nsourcetype = stash_new\nwhitelist = (default-mode.conf|limits.conf|distsearch.conf|authentication.conf|serverclass.conf|authorize.conf|server.conf|web.conf|outputs.conf|indexes.conf|props.conf|inputs.conf|transforms.conf),,,# Enable this input on every Cluster Manager instance,
Cluster Managers,server.conf,,[clustering],heartbeat_timeout,60,120-300,s,Value of 300 is recommended by support.,"The amount of time, in seconds, that the captain considers a member down.
 After a member is down, the captain initiates fixup steps to replicate
 artifacts from the dead member to its peers.
This heartbeat exchanges data between the captain and members, which helps in
 maintaining the in-memory centralized state for all the cluster members.
Note that this heartbeat is different from the Raft heartbeat described
 in the 'election_timeout_2_hb_ratio' setting.
Default: 60 (1 minute)",SeeConfigurations for a large indexer cluster (>100k buckets). Specifies how long before an Indexer is considered Down when no heartbeats comes in. 300 for classic OFF for S2 - changed 9/4/18 to
Cluster Managers,server.conf,,[clustering],max_fixup_time_ms,1000,2000,ms,Review against Cloudworks,"Only valid for 'mode=manager'.
Specifies, in milliseconds, how long each fixup level runs before
 short circuiting to continue to the next fixup level. This
 introduces an upper-bound on each service level, and likewise
 introduces an upper bound on the full service() call.
This setting is useful for larger clusters that have lots of
 buckets, where service() calls can consume a significant amount
 of time blocking other operations.
0 denotes that there is no max fixup timer.
Default: 1000",helped with fixup from 50 days to 2 days in raymond james
Cluster Managers,server.conf,,[clustering],max_peer_rep_load,5,,integer,Review against Cloudworks,"This is the maximum number of concurrent replications that a
 member can take part in as a target.
Default: 5",helps with index clustering
Cluster Managers,server.conf,,[clustering],rebalance_newgen_propagation_timeout,60,120,s,,"Valid only for 'mode=manager'.
Valid only for 'searchable_rebalance=true'.
The amount of time, in seconds, that the manager waits for the search heads to
 get the newly committed generation after the discarded buckets' primacy has
 been reassigned.
Default: 60 (1 minute)",
Cluster Managers,server.conf,,[clustering],rebalance_primary_failover_timeout,75,150,s,,"Valid only for 'mode=manager'.
Valid only for 'searchable_rebalance=true'.
The maximum length of time, in seconds, that the manager waits for primacy to
 be reassigned from the batch of excess buckets to other buckets.
Default: 75",
Cluster Managers,server.conf,,[clustering],rebalance_search_completion_timeout,180,360,s,,"Valid only for 'mode=manager'.
Valid only for 'searchable_rebalance=true'.
The amount of time, in seconds, that the manager waits for older generation
 searches on indexers to complete before removing any excess buckets.
You do not need to restart the cluster manager when making changes to
 this setting. This setting reloads automatically.
Default: 180 (3 minute)",
Cluster Managers,server.conf,,[clustering],restart_inactivity_timeout,600,900,s,,"Only valid for 'rolling_restart=searchable_force'The amount of time, in seconds, that the manager waits for a peer to restart and rejoin the cluster before it considers the restart a failure and proceeds to restart other peers.More specifically, the amount of time that the manager waits for a peer in the 'Down' status to transition to 'BatchAdding' or 'Up' status.A value of zero (0) means that the manager waits indefinitely for a peer to restart.Default: 600 (10 minutes)",
Cluster Managers,server.conf,,[clustering],restart_timeout,60,120,s,,"Only valid for 'mode=manager'.
This is the amount of time, in seconds, the manager waits for a peer
 to come back when the peer is restarted (to avoid the overhead of
 trying to fixup the buckets that were on the peer).
More specifically, the amount of time that the manager waits for a
 peer in the 'Restarting' status to transition to the 'Down' status.
Note that this only works with the offline command or if the peer
 is restarted vi the UI.
You do not need to restart the cluster manager when making changes to
 this setting. This setting reloads automatically.
Default: 60",
Cluster Managers,server.conf,,[httpServer],maxThreads,0,10240,integer,Cloud CM 100-whisper,"maxThreads = <integer>
The number of threads that can be used by active HTTP transactions.
 You can limit this number to constrain resource usage.
If set to 0, Splunk Enterprise automatically sets the limit to
 one third of the maximum allowable threads on the host.
If this number is less than 20, it is set to 20. If this number is
 greater than 150000, it is set to 150000.
If maxSockets is not negative and maxThreads is greater than maxSockets, then
 Splunk Enterprise sets maxThreads to be equal to maxSockets.
If set to a negative number, no limit is enforced.
Default: 0",
Clustered Indexers,default-mode.conf,,[pipeline:scheduler],disabled,false,true,boolean,,"Whether or not the Splunk platform loads the specified pipeline.
If set to true on a specific pipeline, the pipeline will not be loaded in the system.",
Clustered Indexers,distsearch.conf,,[replicationSettings],replicationThreads,auto,10,,Makes sense > 10 indexers but < shouldn't hurt - *CLOUD bundle replication hosted on S3 buckets,"The maximum number of threads to use when performing bundle replication
 to peers. If set to ""auto"", the peer auto-tunes the number of threads it uses for
 bundle replication. If the peer has 3 or fewer CPUs, it allocates 2 threads. If the peer has 4-7 CPUs, it allocates up to '# of CPUs - 2' threads. If the peer has 8-15 CPUs, it allocates up to '# of CPUs - 3' threads. If the peer has 16 or more CPUs, it allocates up to '# of CPUs - 4' threads. This setting is applicable only when replicationPolicy is set to 'classic'. Maximum accepted value for this setting is 16.",Makes sense > 10 indexers but < shouldn't hurt - *CLOUD bundle replication hosted on S3 buckets
Clustered Indexers,distsearch.conf,,[replicationSettings],sendRcvTimeout,60,180,s,"*CLOUD bundle replication hosted on S3 buckets
Benefits / Reason: In the course of support cases on Splunk Cloud with ITSI for large customers such as Progressive and Roche we found that connectivity between peers and search heads negatively impacted correctness of application results.",The maximum number of seconds to wait for the sending of a full replication to a peer.,"*CLOUD bundle replication hosted on S3 buckets
Benefits / Reason: In the course of support cases on Splunk Cloud with ITSI for large customers such as Progressive and Roche we found that connectivity between peers and search heads negatively impacted correctness of application results."
