event_type,category,description
SPOOF_DOMAIN_ADDED,domain,Domain added to monitoring
SPOOF_DOMAIN_VERIFIED,domain,Domain ownership verified
SPOOF_MONITORING_ENABLED,domain,DMARC monitoring activated
SPOOF_ALERT_GENERATED,alert,Security alert generated
SPOOF_ALERT_ACKNOWLEDGED,alert,Alert acknowledged by operator
SPOOF_ALERT_RESOLVED,alert,Alert resolved
SPOOF_THREAT_DETECTED,threat,Threat signal detected
SPOOF_THREAT_CRITICAL,threat,Critical threat detected
SPOOF_FORENSIC_SPOOFING,threat,Spoofing attempt identified in forensic report
SPOOF_LOOKALIKE_THREAT,lookalike,Lookalike domain confirmed as threat
SPOOF_DNS_CHANGES_APPLIED,enforcement,DNS record changes applied
SPOOF_DNS_VERIFICATION_SUCCEEDED,enforcement,DNS propagation verified
SPOOF_DNS_VERIFICATION_FAILED,enforcement,DNS verification failed
SPOOF_DNS_DRIFT_DETECTED,enforcement,Unexpected DNS record change detected
SPOOF_INTEGRATION_CONNECTED,integration,Third-party integration connected
SPOOF_INTEGRATION_HEALTH_DEGRADED,integration,Integration health degraded
SPOOF_SIEM_CONNECTED,integration,SIEM integration connected
TAKEDOWN_CREATED,takedown,Takedown case created
TAKEDOWN_EVIDENCE_COLLECTED,takedown,Evidence collected for takedown
TAKEDOWN_DISPATCHED,takedown,Abuse reports dispatched
TAKEDOWN_ESCALATED,takedown,Takedown case escalated
TAKEDOWN_RESOLVED,takedown,Takedown case resolved
TAKEDOWN_REOPENED,takedown,Takedown case reopened
