status,vendor_type,description
unsuccessful,backup,A backup job will be marked as unsuccessful if the entire backup attempt fails. 
unsuccessful,pstrestore,A restore job will be marked as unsuccessful if the entire restore attempt fails or if all items are skipped.
incomplete,backup,A backup job will be marked as incomplete if the backup begins but is stopped due to an error. A partial snapshot may or may not be created. This means you may or may not have access to the data that was backed up during the job. 
incomplete,*restore,A restore job will be marked as incomplete if one or more items are skipped.
cancelled,backup,A job may also be cancelled due to a software update or server reboot from our side.
cancelled,*restore,A restore job can be cancelled manually from the Job Monitor. 
inprogress,backup,The job is still being performed.
inprogress,*restore,The job is still being performed.
scheduled,backup,Scheduled restore and item restore jobs will be immediately displayed in the Job Monitor.
scheduled,*restore,Scheduled restore and item restore jobs will be immediately displayed in the Job Monitor.
