name,description,icon,code
Access Control,"Requirements, control, and limitations for system and data access based for internal and remote sources across both users and processes",fas fa-user-lock,AC
Asset Management,"Identification, documentation, and management of information technology assets",fas fa-boxes,AM
Audit and Accountability,"Activities and requirements related to the renention, analysis, and generation of audit data.",fas fa-user-circle,AU
Awareness and Training,Conduct security awareness activities and training,fas fa-graduation-cap,AT
Configuration Management,Establish and monitor configuration by tracking established baselines and change processes,fas fa-database,CM
Identification and Authentication,Apply zero-trust security principals to user and service access,fas fa-id-badge,IA
Incident Response,"Provide an incident response capability with robust planning, monitoring, reseponse capabilities",fas fa-diagnoses,IR
Maintenance,Track and manage the maintenance of technology assets,fas fa-tools,MA
Media Protection,"Ensure that media storing controlled unclassified information (CUI) is appropriately marked, secured and sanitized",fas fa-save,MP
Personnel Security,Screen and protect federal contract information during personnel actions,fas fa-shield-alt,PS
Physical Protection,Apply physical access constraints,fas fa-hard-hat,PP
Recovery,Manage back-ups and information security continuity,fas fa-backward,RE
Risk Management,"Identify, evaluate, and manage direct and supply chain related risks",fas fa-chart-bar,RM
Security Assessment,"Establish, manage and maintain security plans for information technology systems",fas fa-lock,CA
Situational Awareness,Utilize threat identification and monitoring capabilities,fas fa-binoculars,SA
System and Communications Protection,Define secure system and communication boundaries and control transmission of data across boundaries,fas fa-satellite-dish,SC
System and Informational Integrity,Identify and mitigate vulnerabilities and risks of networks and systems,fas fa-certificate,SI
