id, name
[CIS BENCHMARK V1.0.0] 1,1. Identity and Access Management
[CIS BENCHMARK V1.0.0] 2,2. Logging and Monitoring
[CIS BENCHMARK V1.0.0] 3,3. Networking
[CIS BENCHMARK V1.0.0] 4,4. Virtual Machines
[CIS BENCHMARK V1.0.0] 5,5. Storage
[CIS BENCHMARK V1.0.0] 6,6. Cloud SQL Database Services
[CIS BENCHMARK V1.0.0] 7,7. Kubernetes Engine
[CIS BENCHMARK V1.1.0] 1,Identity and Access Management
[CIS BENCHMARK V1.1.0] 2,Security Center
[CIS BENCHMARK V1.1.0] 3,Storage Accounts
[CIS BENCHMARK V1.1.0] 4,Database Services
[CIS BENCHMARK V1.1.0] 5,Logging and Monitoring
[CIS BENCHMARK V1.1.0] 6,Networking
[CIS BENCHMARK V1.1.0] 7,Virtual Machines
[CIS BENCHMARK V1.1.0] 8,Other Security Considerations
[CIS BENCHMARK V1.1.0] 9,AppService
[CIS BENCHMARK V1.2.0] 1,1. Identity and Access Management
[CIS BENCHMARK V1.2.0] 2,2. Logging
[CIS BENCHMARK V1.2.0] 3,3. Monitoring
[CIS BENCHMARK V1.2.0] 4,4. Networking
[GDPR] Article 5,Article 5: Principles relating to processing of personal data
[GDPR] Article 6,Article 6: Lawfulness of processing
[GDPR] Article 13,Article 13: Information to be provided where personal data are collected from the data subject
[GDPR] Article 14,Article 14: Information to be provided where personal data have not been obtained from the data subject
[GDPR] Article 15,Article 15: Right of access by the data subject
[GDPR] Article 17,Article 17: Right to erasure (‘right to be forgotten’)
[GDPR] Article 25,Article 25:  Data protection by design and by default
[GDPR] Article 30,Article 30:  Records of processing activities
[GDPR] Article 32,Article 32:  Security of processing
[GDPR] Article 33,Article 33:  Notification of a personal data breach to the supervisory authority
[GDPR] Article 89,"Article 89:  Safeguards and derogation relating to processing for archiving purposes in the public interest, scientific or historical research purposes or statistical purposes"
[GLBA] 501(b)(1),501(b)(1) Ensure the security and confidentiality of customer records and information
[GLBA] 501(b)(2),501(b)(2) Protect against any anticipated threats or hazards to the security or integrity of such records
[GLBA] 501(b)(3),501(b)(3) Protect against unauthorized access or use of such records or information which could result in substantial harm or inconvenience to any customer
[HIPAA] 164.308(a)(1),164.308(a)(1) Security Management Process
[HIPAA] 164.308(a)(3),164.308(a)(3) Workforce security
[HIPAA] 164.308(a)(4),164.308(a)(4) Information access management
