ID No.,Message,Definition,Event Type
21000,Land on login page,User browsed SecureAuth.aspx for login,Workflow Event
21010,Found user with user name successfully,Result after user typed in username on UI,Workflow Event
21020,"Found user, but the user�s group is not allowed",Result after user typed in username on UI,Workflow Event
21070,User is not found,Cannot find the user�based on username,Workflow Event
21090,User / Password is invalid,Invalid username or password for username / password on the same page,Workflow Event
22100,Validate password successfully for public mode,For password on a separate page,Workflow Event
22200,Validate password successfully for cookie mode,For password on a separate page,Workflow Event
22300,Validate password successfully,"For X509 / iOSDeviceID mode, password on a separate page",Workflow Event
22400,Validate password successfully for Zombie cookie mode,For password on a separate page,Workflow Event
22500,Validation of password after successful UBC credential check,"For zombie cookie, password on a separate page",Workflow Event
22600,Validate password successfully for FingerPrint mode,For Fingerprint,Workflow Event
23120,Personal certificate is found and verified by browser ActiveX component or Java plugin,For checking user�s X.509 certificate,Workflow Event
23310,The cookie exists or not,For mobile cookie,Workflow Event
23420,Personal certificate is found and verified by browser ActiveX component or Java plugin,For manually reload Java plugin,Workflow Event
23610,Verified UBC Credential,For zombie cookie,Workflow Event
23700,iOS device ID is found,For iOS device,Workflow Event
23810,Verified FingerPrint Credential,For Browser Attribute(s),Workflow Event
24000,Show OTP/PIN/KBA method options,"For OTP, PIN, or KBA methods",Workflow Event
24100,PIN verification succeeds,For PIN method,Workflow Event
24110,KBA verification succeeds,For KBA method,Workflow Event
24120,OTP verification succeeds,For OTP method,Workflow Event
24200,Wrong PIN number attempt,For PIN method,Workflow Event
24210,Wrong KBA attempt,For KBA method,Workflow Event
24220,Wrong OTP attempt,For OTP method,Workflow Event
26020,Deliver a token cookie,For SecureAuth cookie credential,Workflow Event
26110,Registered UBC Credential,For zombie cookie credential,Workflow Event
26210,Write iOS Device ID to database (AD),For iOS Device ID,Workflow Event
26310,Registered FingerPrint to datastore,For Browser Attribute(s),Workflow Event
27010,Registered the root cert,For X.509 certificate,Workflow Event
27310,Install X509 certificate successfully,For X.509 certificate,Workflow Event
27320,Installing X509 certificate failed,For X.509 certificate,Workflow Event
27410,Install X509 certificate successfully,For manually reloading Java-plugin to install X.509 certificate,Workflow Event
29010,Security violation with message id,Authentication issue,Workflow Event
20000,Authenticate the user successfully,Successful authentication,Workflow Event
29990,Authentication failed,Authentication failure,Workflow Event
24000,Show registration method options,Page loads and shows the Multi-Factor Authentication radio buttons,Yubikey MFA Method
24010,YubiKey Method Selected,User selects YubiKey,Yubikey MFA Method
24120,One Time Password Success,OTP is successfully validated,Yubikey MFA Method
24220,"One Time Password Failed, attempts: 0",User fails validation,Yubikey MFA Method
31020,Windows desktop SSO succeeds,"For WindowsSSO.aspx, Windows desktop SSO",Pre-Authentication Page
31120,Windows desktop SSO succeeds and redirect users to the destination site,"For WindowsSSO2.aspx, Windows desktop SSO",Pre-Authentication Page
32010,"SiteMinder integration, redirect user to destination URL",For SiteMinder integration,Pre-Authentication Page
33020,OATH Service user and otp authentication success,OATH service success response,Pre-Authentication Page
33030,OATH Service OTP Failed,OATH service failure response,Pre-Authentication Page
33040,OATH Service Username Failed,OATH service failure response,Pre-Authentication Page
