description,id,state,type,"uc_array","use_cases"
"Data from AWS can support service monitoring, alarms and a dashboards for metrics, and can also track security-relevant activities, such as login and logout events.","uc_d_t_aws",0,"Amazon Web Services","uc_mn_sec|uc_mn_itoa","Security & Compliance, IT Operations"
"APM tool logs can provide end-to-end measurement of complex, multi-tier applications, and be used to perform post-hoc forensic analytics on security incidents that span multiple systems.","uc_d_t_apm",0,"APM Tool Logs","uc_mn_sec|uc_mn_itoa","Security & Compliance, IT Operations"
"Authentication data can help identify users that are struggling to log in to applications and provide insight into potentially anomalous behaviors, such as activities from different locations within a specified time period.","uc_d_t_auth",0,Authentication,"uc_mn_sec|uc_mn_itoa","Security & Compliance, IT Operations, Application Delivery"
"Firewall data can provide visibility into blocked traffic in case an application is having communication problems. It can also be used to help identify traffic to malicious and unknown domains.","uc_d_t_fw",0,Firewall,"uc_mn_sec|uc_mn_itoa","Security & Compliance, IT Operations"
"ICS data provides visibility into the uptime and availability of critical assets, and can play a major role in identifying when these systems have fallen victim to malicious activity.","uc_d_t_ics",0,"Industrial Control Systems (ICS)","uc_mn_sec|uc_mn_ba|uc_mn_iot","Security & Compliance, Internet of Things, Business Analytics"
"Medical device data can support patient monitoring and provide insights to optimize patient care. It can also help identify compromised protected health information.","uc_d_t_med",0,"Medical Devices","uc_mn_sec|uc_mn_ba|uc_mn_iot","Security & Compliance, Internet of Things, Business Analytics"
"Network protocol data can provide visibility into the network's role in overall availability and performance of critical services. It's also an important source for identifying advanced persistent threats.","uc_d_t_netw",0,"Network Protocols","uc_mn_sec|uc_mn_itoa","Security & Compliance, IT Operations"
"Sensor data can provide visibility into system performance and support compliance reporting of devices. It can also be used to proactively identify systems that require maintenance.","uc_d_t_sens",0,"Sensor Data","uc_mn_sec|uc_mn_itoa|uc_mn_iot","Security & Compliance, IT Operations, Internet of Things"
"System logs are key to troubleshooting system problems and can be used to alert security teams to network attacks, a security breach or compromised software.","uc_d_t_sys",0,"System Logs","uc_mn_sec|uc_mn_itoa","Security & Compliance, IT Operations"
"Web logs are critical in debugging web application and server problems, and can also be used to detect attacks, such as SQL injections.","uc_d_t_web",0,"Web Server","uc_mn_sec|uc_mn_itoa|uc_mn_ba","Security & Compliance, IT Operations, Business Analytics"
