alarm_id,alarm_message
01000,Not present
01001,Powered off
01002,Powered but not drawing current
01005,PCM faulted
02000,Not present
02001,Powered off
02002,Powered but not drawing current
02003,Intake air too hot
02006,Persistent fault during PCIe hardware setup
02010,Unable to obtain chassis version information
02011,Standby ACM at incorrect version after upgrade
02012,Chassis lid removed
02013,PCIe switch failed to program
02014,Staged VIMM upgrade ongoing
02015,Staged upgrade aborted
02017,Staged upgrade suspended
02018,Staged upgrade waiting
02019,tmsbridged process not active
02020,shb_netd process not active
02021,alarmd process not active
02022,pcmd process not active
02023,chassisd process not active
02024,fpmd process not active
02025,acmd process not active
02026,envd process not active
02027,vmapd process not active
02028,upgd process not active
02029,"ACM degraded, one or more processes not running"
02030,File system usage exceeded warning threshold. Use 'file var cleanup' to free space
02031,File system usage exceeded critical threshold. Cleanup in progress.
02032,File system usage exceeded critical threshold. Unable to recover
02033,voffload process not active
02035,Chassis Auto-configuration in progress...
02036,ACM upgrade in progress
02037,ACM upgrade in progress on standby
02038,ACM failed software integrity test
03000,Not present
03001,Powered off
03002,Powered but not drawing current
03003,No spare memory modules
03004,AC power failure
03005,VIMM polling failure; system shut down
03006,Unformatted system
03007,Hot
03008,Temp unreadable
03009,Upgrading
03010,Heartbeat timeout; VCM removed from service
03012,VCM disabled due to VIMM failure
03013,VCM not responding; VCM communications failed
03014,Unexpected VCM restart
03015,VCM was unable to prepare for failover
03016,VCM faulted; VCM removed from service
03017,VCM not visible to one or more hosts
03018,Manufacturing data not valid
03019,Manufacturing data not available
03020,VCM not in service; Previous heartbeat failure detected
03021,VCM power operation in progress
03022,host reported IO was stuck for more than 11 seconds
03023,No upstream link to host
03024,Staged upgrade suspended; VCM not HA-ready
03025,Staged upgrade suspended; VCM failed to upgrade
03026,Preparing VIMMs for staged upgrade
03027,Staged upgrade of VIMMs in progress
03028,Aborting staged upgrade of VIMMS (Requested by ACM)
03029,Aborted staged upgrade of VIMMs (Requested by ACM)
03030,Terminating staged upgrade of VIMMs
03031,Terminated staged upgrade of VIMMs
03032,Staged upgrade suspended by user
03033,VCM upgrade-start waiting for HA-ready
03034,VCM has exhausted all recovery attempts
03035,Recovery in progress
03036,VCM has a critical RAID alarm
03037,VCM has failed to boot
03038,Downloading VIMM bitfiles to VCM
03040,VCM reported a CRAM error
03041,VCM reported a fatal flash error
03042,VCM reported a fatal sched error
04000,Not present
04001,AC power failure
04002,DC power not detected
05000,Not present
06000,Not present
06001,Powered off
06002,Powered but not drawing current
06003,Unformatted
06004,Failed
06005,Flash format failed
06006,Hot
06007,Extremely hot
06008,VIMM shut down
06009,Temp unreadable
06010,Incompatible formatted capacity
06011,VIMM faulted; taken out of service
07000,Not present; Re-seat or replace module
07001,Powered off
07002,Powered but not drawing power
07003,FPM contents not valid
07004,FPM data not available
08000,Not present
08001,Powered off
08002,Powered but not drawing current
09000,Not present
09001,Powered off
09002,Powered but not drawing current
09003,Hot
09004,PCIe links failed to come up
09005,Extended power-on in progress
09006,Extended power-on retry in progress
09007,Extended power-off in progress
09008,Auto configuration in progress
09009,Memory size mismatch
09010,PCIe link not optimal
10000,RAID group faulted
10001,RAID group unprotected
10002,RAID group has no spare
