response_code, response_name, response_status, response_cause, response_severity
"00", "Successful", success, , informational
"01", "Refer to card issuer", failure, functional, informational
"02", "Refer to card issuer special condition", failure, functional, informational
"03", "Invalid merchant or service provider", failure, functional, informational
"04", "Pickup", failure, functional, informational
"05", "Do not honor", failure, functional, informational
"06", "General error", failure, technical, informational
"07", "Pickup card special condition", failure, functional, informational
"08", "Honor with identification", failure, functional, informational
"09", "Request in progress", failure, functional, informational
"10", "Partial approval", failure, functional, informational
"11", "VIP approval", failure, functional, informational
"12", "Invalid transaction", failure, functional, informational
"13", "Invalid amount or amount exceeds maximum for card program", failure, functional, informational
"14", "Invalid account number", failure, functional, informational
"15", "No such issuer", failure, functional, informational
"16", "Insufficient funds", failure, functional, informational
"17", "Customer cancellation", failure, functional, informational
"19", "Re-enter transaction", failure, functional, informational
"20", "Invalid response", failure, functional, informational
"21", "No action taken", failure, functional, informational
"22", "Suspected Malfunction", failure, functional, informational
"25", "Unable to locate record in file or account number is missing from the inquiry", failure, functional, informational
"28", "File is temporarily unavailable", failure, technical, informational
"30", "Format error", failure, functional, informational
"41", "Merchant should retain card (card reported lost)", failure, functional, informational
"43", "Merchant should retain card (card reported stolen)", failure, functional, informational
"51", "Insufficient funds", failure, functional, informational
"52", "No checking account", failure, functional, informational
"53", "No savings account", failure, functional, informational
"54", "Expired card", failure, functional, informational
"55", "Incorrect PIN", failure, functional, informational
"57", "Transaction not permitted to cardholder", failure, functional, informational
"58", "Transaction not allowed at terminal", failure, functional, informational
"59", "Suspected fraud", failure, functional, informational
"61", "Activity amount limit exceeded", failure, functional, informational
"62", "Restricted card", failure, functional, informational
"63", "Security violation", failure, functional, informational
"65", "Activity count limit exceeded", failure, , informational
"68", "Response received too late", failure, functional, informational
"75", "Allowable number of PIN-entry tries exceeded", failure, functional, informational
"76", "Unable to locate previous message", failure, functional, informational
"77", "Previous message located for a repeat or reversal but repeat or reversal data are inconsistent with original message", failure, functional, informational
"78", "’Blocked first used’—The transaction is from a new cardholder and the card has not been properly unblocked.", failure, functional, informational
"80", "Visa transactions: credit issuer unavailable.", failure, functional, informational
"81", "PIN cryptographic error found", failure, functional, informational
"82", "Negative CAM dCVV iCVV or CVV results", failure, functional, informational
"83", "Unable to verify PIN", failure, functional, informational
"85", "No reason to decline a request for account number verification address verification CVV2 verification; or a credit voucher or merchandise return", failure, functional, informational
"91", "Issuer unavailable or switch inoperative", failure, technical, high
"92", "Destination cannot be found for routing", failure, technical, critical
"93", "Transaction cannot be completed violation of law", failure, technical, critical
"94", "Duplicate transmission", failure, technical, critical
"95", "Reconcile error", failure, technical, informational
"96", "System malfunction System malfunction or certain field error conditions", failure, technical, informational
"B1", "Surcharge amount not permitted on Visa cards (U.S. acquirers only)", failure, functional, informational
"N0", "Force STIP", failure, technical, informational
"N3", "Cash service not available", failure, technical, informational
"N4", "Cashback request exceeds issuer limit", failure, technical, informational
"N7", "Decline for CVV2 failure", failure, technical, informational
"P2", "Invalid biller information", failure, technical, informational
"P5", "PIN change/unblock request declined", failure, technical, informational
"P6", "Unsafe PIN", failure, functional, informational
"Q1", "Card authentication failed", failure, functional, informational
"R0", "Stop payment order", failure, functional, informational
"R1", "Revocation of authorization order", failure, functional, informational
"R3", "Revocation of all authorizations order", failure, functional, informational
"XA", "Forward to issuer", failure, technical, informational
"XD", "Forward to issuer", failure, technical, informational
"Z3", "Unable to go online", failure, technical, informational
"R9", "Unknown", failure, functional, informational
"T5", "Unknown", failure, functional, informational
"56", "Unknown", failure, functional, informational
"000", "Successful", success, , informational
"037", "Unknown", failure, functional, informational
"041", "Unknown", failure, functional, informational
"042", "Unknown", failure, functional, informational
"045", "Unknown", failure, functional, informational
"046", "Unknown", failure, functional, informational
"051", "Unknown", failure, functional, informational
"063", "Unknown", failure, functional, informational
"064", "Unknown", failure, functional, informational
