summary,text
お客様から、iPhone と Apple Watch に、歩数/アクティビティと健康に関するアクティビティが表示されないという問い合わせがありました。エージェントは、DM に移動して調査するよう求めています。,顧客: つまり、iPhone も Apple Watch も歩数/活動を記録しておらず、Health は何らかの理由でどちらのソースも認識しなくなりました。何か案は？お客様：上記をお読みください。エージェント: 一緒に調査しましょう。まず、iPhone と Apple Watch で現在実行されているソフトウェアのバージョンを教えていただけますか?顧客: 私の iPhone は 11.1.2 で、時計は 4.1 です。エージェント: ありがとうございます。これが発生し始めてから、両方のデバイスを再起動してみましたか?顧客: 両方を再起動し、時計のペアリングも解除して再ペアリングしました。エージェント: 分かった。 2 つのデバイスが互いに通信していないことに最初に気付いたのはいつですか。 2 つのデバイスは、メッセージなどの他のアプリを介して通信しますか?顧客: はい、すべて問題ないようです。健康と活動だけです。エージェント: DM に移動して、もう少し調べてみましょう。 DMで連絡するときは、これが最初に起こったときを教えてください.たとえば、更新後または特定のアプリのインストール後に開始されましたか?
お客様は、購入を希望しているイヤホンの交換ポリシーについて熱心に知りたがっています。エージェントは、受け取ったアイテムに欠陥があるか破損している場合にのみ適用されると述べました。,顧客: やあチーム！ Apple AirPods を購入する予定です。ウェブサイトには10日間の交換保証があると表示されていますが、それが何であるか説明できますか?エージェント: 受け取った商品に破損または欠陥がある場合は、10 日間の交換ポリシーがあります。 ^SH お客様: わかりました！しかし、製品が気に入らなかったので返品したい場合はどうすればよいでしょうか エージェント: 購入者都合による返品は受け付けられません。モバイル返品ポリシーの詳細については、.ここで共有されているリンクをクリックしてください: ご理解いただきありがとうございます。顧客: わかりました。ありがとうございます。ただし、これらはイヤホンなので、これらにも同じポリシーが適用されるということですか? エージェント: はい、ヘッドセット/イヤホンは購入者都合の返品の対象外です。損傷/欠陥が発生した場合は、ご連絡いただければ、それに応じて確認し、お手伝いします。 ^VN 顧客: わかりました！助けてくれてありがとう ！大変感謝しています :) エージェント: ご理解いただきありがとうございます。さらに懸念がある場合は、お知らせください。喜んでお手伝いいたします。 üòä ^VN
デルタ航空でアメックスカードを申し込んだのですが、うまくいきませんでした。新しいアカウント チームに電話するように伝えました。,顧客: 顧客サービスの問題を上層部に伝えるには、どこに書けばよいですか?エージェント: こんにちはクリス。これに関係する米国ベースのカードはどれですか?個人情報やカード情報は公開しないでください。 ^クラリッサ エージェント: こんにちは、あなたから連絡がありません。お手伝いできることがあればお知らせください。ではごきげんよう。 ^クラリッサのお客様: デルタ航空のスカイマイルカードです。エージェント: おはようございます。これは何に関するもので、私がお手伝いできることがありますか? ^RK 顧客: Delta で新しいカードにサインアップして、すぐに tix を予約しました。カード番号が表示されませんでした。カスタマー サービスが支援を拒否しました。エージェント: おはようございます。お問い合わせいただきありがとうございます。サポートが必要な場合は、新規アカウント チーム (877-399-3086) までお電話ください。エージェント: 月曜日から金曜日の午前 8:00 から午前 12:00 (ET)。土曜日の午前 10:00 ～ 午後 6:00 (ET)。ご不便をおかけして申し訳ありません。^In
お客様に問題があります。エージェントはとても親切で、ケースのフォローアップを申し出てくれます。,顧客: うわー、昨日は 4 つのパッケージを期待していましたが、2 つしか表示されませんでした。 50% の失敗率 - 感銘を受けません。迅速な発送にお金を払ってよかったです。顧客: 先月、ドライバーが箱を配達し、電話で 10 分間バンに座って車を走らせました。すると、荷物が「輸送中に紛失」したとの連絡がありました。エージェント: 申し訳ありませんが、注文を 2 つしか受け取っていません。これは毎回同じキャリアで発生していますか?紛失したアイテムに利用できるオプションを確認できます。電話またはチャットでお問い合わせください: ^MG 顧客: 問題は主に AMZL US 配送ですが、今回は UPS です。 UPSは通常かなり良いです。客：また、商品は紛失していません。私は彼らがそれを届けるのを見ました。ただし、ステータスには「輸送中の紛失」と表示されます。大したことではありませんが、Amzn がばかげているように見えます エージェント: わかりました、その情報をありがとう、デイブ。期待していた最後の 2 つのパッケージについて、電子メールで更新を受け取りましたか?私たちに知らせて。私たちはできる限りお手伝いしたいと思います！ ^SM 顧客: チャットで配送料を返金してもらいました。荷物は到着次第こちらに届きます。吐き出させてくれてありがとう。エージェント: お知らせください、デイブ! ^SM
刷新以降、お客様は鉄道会社のサイトで列車のチケットを購入できません。問題を開発チームに報告します。,顧客: アプリの作成に時間を割いていただきたいと思います。無意味な新しい広告に何百万ドルも費やすのではなく、ウェブサイトが適切に機能するようにします。エージェント: こんにちは。私たちは、75 億ポンドの巨額の投資の真っ只中にあり、間もなく新しい列車が予定されています。この話をできるだけ多くの人に伝えることが重要です 顧客: これは、私があなたのウェブサイトで何をしようとも、ホームページの後で... 24 時間年中無休 5 日間です。エージェント: こんにちは、ドレイトン。ウェブサイトは機能しています。キャッシュをクリアするか、別のブラウザを使用してみましたか?ルイスの顧客: 30 分で 6 回チケットを購入しようとしました。毎回これで挨拶。チケットを選択してからサインインするまでに 30 秒もかかりませんでした。確認するには、これはアプリですか、それともモバイル サイトですか?フィル。顧客: 人々が新しい列車のチケットを購入できない場合、文字通り関係ありません。私は、ウェブサイトを 2 人が使用することを物理的に恐れるほど嫌いになったことはありません。顧客: アプリ。あなたの非常識な改造以来、私はチケットを購入できませんでした。以前は完全に機能していましたが、今では絶対的なsh * tshowです。エージェント: お手数をおかけして申し訳ありません。アンインストール/再インストールして、もう一度予約していただけますか?フィル。顧客: 信じてください Phil 私は本のすべてのトリックを試しました.言葉のあらゆる意味で、何度も何度も。エージェント: 申し訳ありませんが、開発チームに報告します。その間、モバイルまたはデスクトップ サイトを使用できますか?フィル。顧客: いいえ、フィルではありません。代わりにバスに乗るつもりです。アプリは問題なく動作します。エージェント: ドレイトン、今日はご不便をおかけして申し訳ありません。ご迷惑をおかけして申し訳ありません。フィル。
クライアントは明らかにサービスに不満を持っています。エージェントは顧客を助けることができません。,顧客: 顧客の時間/お金はあなたにとって価値があるとは思えません!格安航空会社だから!? NVR再び！ !エージェント: 遅れてすみません、サイム。フライトの変更には変更手数料 (1 人あたり / フライトあたり) がプラス &gt;&gt; で適用されます。エージェント: &gt;&gt;運賃差額ですので、その分だけお支払いください。新しい予約をした方が安いと思うなら、そう考えるかもしれません。エージェント: 本当に申し訳ありませんが、フライトの変更はそれに応じて変更料金 + 運賃の差額の対象となります。よろしくお願いします - Ed Customer: 新しい予約を進めますが、荷物と食べ物を新しい PNR に移動させてくれますか?エージェント: サイムさん、申し訳ありませんが、アドオンを別の予約に譲渡することはできません。ありがとう - Khairul 顧客: 顧客のことをまったく気にしていない人を見たことがありません... だまされたと感じます.. 奪われたと感じます... 顧客: こんなに評判の良い航空会社からこれを期待していませんでした... エージェント: ご不便をおかけして申し訳ありませんが、フライトを変更すると、手荷物は新しいフライトに転送されます。但し、代理店：新規予約の場合、全く別の予約となりますので譲渡できません。 -Yana 顧客: 基本的な礼儀として、また顧客満足のために、ほとんど努力をする必要はありません...満足した顧客は最高のマーケティングであることを忘れないでください。および返金不可。すべてのゲストに公平である必要があります &gt;&gt;エージェント: &gt;&gt;したがって、チケットの規則が適用されます。ただし、ノーショーの場合は税金の払い戻しを選択できます。お待ち頂きまして、ありがとうございます。 -フロイ
Tesco の Web サイトの設定が不適切で、ユーザーのコンピューターがクラッシュします。エージェントは、顧客が提供を拒否した問題をログに記録するために侵入的な個人情報を要求するため、エージェントは何の役にも立ちません。,顧客: 彼らの Web サイトに何が起こったのかはわかりませんが、16 コアと 24 GB RAM を搭載した私のマシンでクロールしてクラッシュしています。顧客: 問題は、Firefox が Web サイト タブで 100% の CPU で実行されていることのようです。これは準最適です。エージェント: こんにちは、Iain、IT チームのためにあなたのフィードバックを記録したいと思います。あなたのフルネーム、住所、郵便番号を DM で教えていただけますか?ありがとう - Dani 顧客: いい試みですが、今日は私の ID を盗むことはできません。 FF 52.4.0 (64 ビット/Linux) を使用し、Tesco 食料品店のみを開いた状態での私の統計は次のとおりです。 - Peter Customer: フィードバックのログ記録メカニズムが壊れていると考えたことはありますか?問題は私ではなくウェブサイトにあります。エージェント: こんにちは、イアン、私たちは現在取り組んでいるウェブサイトにいくつかの問題があることを認識しています。あなたのフィードバックを匿名で記録しました。ありがとう - Emma 顧客: ありがとう。氏名、住所、郵便番号と完全な匿名性の間にはおそらく中間点がありますが、これで十分です。顧客: あなたのウェブサイト チームの役に立てば、喜んで試してみます。エージェントの連絡先の詳細: こんにちは Iain、データ保護が完了していないため、アカウントに対してこれをログに記録したり、アカウントのエラーを確認したりすることができません。 TY - ケリー。
お客様は、samsung の最新の android バージョンに関するお問い合わせです。エージェントは、samsung が更新されたら更新することを通知します。,顧客: thrtr が android の更新になるのはいつですか? 最後の更新は 4 月でしたか?エージェント: こんにちは！あなたはどの電話を持っていますか？ ^KJ 顧客: Android 7 上の Galaxy s7 エージェント: Galaxy S7 の現在の Android バージョンは 7.0.0 で、ベースバンド バージョンは G930R4TYU4BQE1 です。それはあなたが持っているものですか？ ^KJ 顧客: はい。でも、サムスンから 9 月があるのになぜ 4 月なのですか? エージェント: これは、入手可能な最新バージョンです。 ^KJ 顧客: 次のいくつかのセキュリティ アップデートの入手について連絡しないでください エージェント: Samsung に連絡しましたが、現在のバージョンは現時点でこの電話で利用可能な最新バージョンです。 ^KJ 顧客: では、1 と 1/2 の古い電話の更新はもうないのですか?エージェント: 今後のアップデートに関する情報はありません。 ^KJ 顧客: この電話のセキュリティ アップデートをリリースする予定はありますか?顧客: 顧客の電話を保護しないのであれば、Samsung に消費者への直接の更新を任せないのはなぜですか?エージェント: Samsung は、利用可能な追加の更新プログラムがないことを通知しています。詳細については、製造元に直接お問い合わせください。 ^KJ 顧客: では、現在の顧客は、ネットワーク上で 5 月、6 月、7 月、8 月、9 月のセキュリティ更新プログラムを取得していないということですか?エージェント: ボブ、Samsung がアップデートを私たちと共有したら、それを顧客と共有します。 ^AW 顧客: では、なぜ 9 月のセキュリティ アップデートを Samsung にプッシュしなかったのですか?エージェント: 今後のアップデートに関する情報はありません。 ^KJ
お客様から、デジタル コードを購入する場合、Xbox live メンバーシップをインストールする必要があるかどうか尋ねられました。エージェントは、デジタル ゲームを購入する場合、Xbox live ゴールド サブスクリプションは必要ないことを更新しました。,顧客: 誰か助けてくれませんか (私が最後に使用したシステムは Nintendo でした) デジタル ゲームの購入についてばかげた質問があります エージェント: こんにちは!私たちをフォローしてもらい、あなたのゲーマータグと、あなたが見ているものについての詳細情報を DM で送ってもらいましょう: ^BL 顧客: ゲーム タグが何かわかりません。私の質問は、Amazon で Xbox live なしで Xbox one for some1 のゲームを購入したいということです。できますか？顧客: 同様に、Xbox live メンバーシップなしで Amazon から Xbox One のデジタル ゲームを購入/使用できますか?インターネットにアクセスできる人物がいます エージェント: ガッチャ。一部のゲーム タイトルでは、アップデートをインストールするためにアクティブなインターネット接続が必要ですが、1/2 ^JA Agent: コンソールをオフライン モードにすると、このコンテンツを起動できるはずです。 2/2 ^JA 顧客: 私の質問に対する回答ではありませんでした。 Amazon から Forza Horizon 3 のデジタル コードを購入した場合、インストールとインストールには Xbox live メンバーシップが必要ですか?キープ ゲーム お客様: 基本的に、デジタル ゲームの購入/インストール/所有/継続使用には、Xbox Live メンバーシップが必要ですか? エージェント: デジタル ゲームを購入した場合、それを保持するために Xbox Live ゴールド サブスクリプションは必要ありません:ありがとう。ごめんなさい。私はこれについて何も知りません。デジタルコピーを購入しようとしていました。 üòÇüòÇ
顧客は、注文した商品の発送先住所を変更したいと考えていますが、3 つの商品のうち 2 つしか更新されていません。 3 番目の項目はサイトの販売者との取引で、応答と更新にもう少し時間がかかる場合があります。,顧客: わかりました。一部の貨物の配送先住所を変更する必要があります。配送先が間違っていることに気付きました。エージェント: 注文が配送プロセスに入っていない場合は、住所を編集できます ^KM 顧客: 2 つのアイテムで成功しましたが、murfbooks という名前の人が難しいです。彼らが協力しないなら返金してほしいと伝えました。エージェント: こんにちは。両方のアイテムでこれを行うことができてよかったです。彼らは払い戻しを提出しましたか？ ^CR 顧客: いいえ。1 時間前に最初の注文をしただけです。最初は迅速に対応してくれましたが、現在は約 15 分間返信がありません。エージェント: ああ、わかりました。注文は発送済みとしてマークされていますか? ^NV 顧客: よくわかりません...編集オーダーと書いてありますが、サード パーティなので編集できません。エージェント: 出品者からの返信には、もう少しお待ちください。 ^で
