modelName,owner,displayName,fieldName,type,description,editable,"expected_values",hidden,multivalue,recommended,required,constraints
Alerts,Alerts,app,app,string,"The system, service, or application that generated the alert event. Examples include, but are not limited to the following: GuardDuty, SecurityCenter, 3rd party services, win:app:trendmicro, vmware, nagios.",true,"-",false,false,true,false,"| search (index=* OR index=_*) ((`cim_Alerts_indexes`) tag=alert)"
Alerts,Alerts,dest,dest,string,"The object that is the 'target' of the alert event. Examples include an email address, SNMP trap, or virtual machine id. You can alias this from more specific fields, such as dest_host, dest_ip, or dest_name.",true,"-",false,false,true,false,"| search (index=* OR index=_*) ((`cim_Alerts_indexes`) tag=alert)"
Alerts,Alerts,severity,severity,string,"The severity of the alert event. Note: This field is a string. Specific values are required. Use the severity_id field for severity ID fields that are integer data types. Use vendor_severity for the vendor's own human readable strings (such as 'Good', 'Bad', 'Really Bad').",true,"""critical"",""high"",""medium"",""low"",""informational"",""unknown""",false,false,true,false,"| search (index=* OR index=_*) ((`cim_Alerts_indexes`) tag=alert)"
Alerts,Alerts,"signature_id","signature_id",string,"The vendor specific policy or rule that generated the alert event, such as 'Policy:IAMUser/RootCredentialUsage.'",true,"-",false,false,true,false,"| search (index=* OR index=_*) ((`cim_Alerts_indexes`) tag=alert)"
Alerts,Alerts,src,src,string,"The object that is the 'actor' of the alert event. You can alias or extract this from more specific fields, such as src_host, src_ip, or src_name.",true,"-",false,false,true,false,"| search (index=* OR index=_*) ((`cim_Alerts_indexes`) tag=alert)"
Alerts,Alerts,type,type,string,"The alert event type.",true,"""alarm"",""alert"",""event"",""task"",""warning"",""unknown""",false,false,true,false,"| search (index=* OR index=_*) ((`cim_Alerts_indexes`) tag=alert)"
Alerts,Alerts,user,user,string,"The user involved in the alert event.",true,"-",false,false,true,false,"| search (index=* OR index=_*) ((`cim_Alerts_indexes`) tag=alert)"
Alerts,Alerts,"user_name","user_name",string,"The user_name of user involved in the alert event.",true,"-",false,false,false,false,"| search (index=* OR index=_*) ((`cim_Alerts_indexes`) tag=alert)"
Alerts,Alerts,body,body,string,"This field is deprecated in favor of 'description'.",true,"-",false,false,false,false,
Alerts,Alerts,description,description,string,"The description of the alert event.",true,"-",false,false,false,false,
Alerts,Alerts,"dest_bunit","dest_bunit",string,"The business unit associated with the destination. This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.",true,"-",false,false,false,false,
Alerts,Alerts,"dest_category","dest_category",string,"The category of the destination. This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.",true,"-",false,true,false,false,
Alerts,Alerts,"dest_priority","dest_priority",string,"The priority of the destination. This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.",true,"-",false,false,false,false,
Alerts,Alerts,"dest_type","dest_type",string,"The type of the destination object, such as 'instance', 'storage', 'firewall'.",true,"-",false,false,false,false,
Alerts,Alerts,id,id,string,"The unique identifier of the alert event.",true,"-",false,false,false,false,
Alerts,Alerts,"mitre_technique_id","mitre_technique_id",string,"The MITRE ATT&CK technique ID of the alert event, searchable at https://attack.mitre.org/techniques",true,"-",false,true,false,false,
Alerts,Alerts,"severity_id","severity_id",string,"The numeric or vendor specific severity indicator corresponding to the event severity.",true,"-",false,false,false,false,
Alerts,Alerts,signature,signature,string,"The human-friendly title of the alert event, such as 'API GetAccountPasswordPolicy was invoked using root credentials.' Split by signature_id when aggregating alert events by types.",true,"-",false,false,false,false,
Alerts,Alerts,"src_bunit","src_bunit",string,"The business unit associated with the source. This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.",true,"-",false,false,false,false,
Alerts,Alerts,"src_category","src_category",string,"The category of the source. This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.",true,"-",false,true,false,false,
Alerts,Alerts,"src_priority","src_priority",string,"The priority of the source. This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.",true,"-",false,false,false,false,
Alerts,Alerts,"src_type","src_type",string,"The type of the source object, such as 'instance', 'storage', 'firewall'.",true,"-",false,false,false,false,
Alerts,Alerts,subject,subject,string,"This field is deprecated in favor of 'signature'.",true,"-",false,false,false,false,
Alerts,Alerts,tag,tag,string,"This automatically generated field is used to access tags from within data models. Add-on builders do not need to populate it.",true,"-",false,true,false,false,
