Identificador,Categoria,Subcategoria,Monitorizacion,Explicacion,Ejemplo,Valor
RS-RP-1,Planes de respuesta (Response Planning),Planes de respuesta están siendo ejecutados durante y después de un incidente,Integrar simulaciones de eventos dentro de la capacitación para mejorar la efectividad de la respuesta de los equipos en crisis,"La organización simulará escenarios de eventos de seguridad de datos, para probar su disponibilidad y prepararse en consecuencia","Algunos ejercicios simularán eventos guiados, y el controlador del ejercicio medirá las reacciones de los equipos. Otros ejercicios simularán eventos en entornos de producción, con medios reales, como los ejercicios de phishing.",3
RS-CO-1,Comunicaciones (Communications),Los trabajadores saben sus roles y orden de operación cuando una respuesta es necesitada,Definir canales de datos seguros de informes para empleados.,"La organización aplicará procedimientos obligatorios de presentación de informes, formatos, en casos de eventos cibernéticos.",Puede implementarse instruyendo a los empleados sobre eventos de seguridad de datos y sus procedimientos de informes. Se recomienda acercarse al CERT nacional para obtener asistencia en respuesta y recuperación.,1
RS-CO-3,Comunicaciones (Communications),La información es compartida en consistencia con los planes de respuesta,Integrar un mecanismo que proporciona accesibilidad a la información sobre reacciones a eventos de seguridad cibernética y de datos.,La organización proporcionará acceso a un archivo que contiene procedimientos de detección y respuesta en eventos de seguridad cibernética y de datos.,"Puede implementarse mediante cualquier sistema de gestión de datos o documentación, o mediante una copia impresa.",2
RS-CO-4,Comunicaciones (Communications),Coordinación con las partes interesadas o stakeholders ocurre en consistencia con los planes de respuesta,El objetivo es una definición formal de los requisitos de protección para cada proyecto y la contratación a nivel contractual.,"Incluir los siguientes requisitos y criterios para cerrar el contrato de compra del componente del sistema de un servicio: requisitos de seguridad funcional, requisitos de protección, requisitos de monitoreo, requisitos de documentación, configuración de un entorno de producción, requisitos de admisión.",Es posible definir plantillas de colección de documentos de requisitos de seguridad de la información cuando se usa para caracterizar sistemas en el desarrollo de una adquisición. El documento incluirá los controles que se espera que el proveedor aborde de acuerdo con el nivel de valores esperados del sistema planificado de acuerdo con los criterios de la Metodología de Defensa.,3
RS-CO-4,Comunicaciones (Communications),Coordinación con las partes interesadas o stakeholders ocurre en consistencia con los planes de respuesta,"Definir un empleado cuyo trabajo es proporcionar conocimiento profesional, apoyo y acompañamiento en el monitoreo, detección, informe y respuesta a eventos de seguridad de datos","La organización designará una entidad profesional para que sirva como fuente de conocimiento profesional, en la identificación y el informe de eventos de seguridad de datos.","Puede ser una entidad interna o externa, con experiencia en identificar, informar y responder a los eventos. Guiará a los equipos que operan los eventos, compartiendo su experiencia en eventos cibernéticos",3
RS-AN-1,Análisis (Analysis),Notificaciones de los sistemas de detección son investigados,"Registro de seguridad de datos eventos y afrontamiento, incluida la recopilación de datos, actividades y conclusiones","La organización mantendrá un mecanismo centralizado de presentación de informes, a fin de tener un informe unificado y completo de la situación del evento y la evaluación de riesgos.","Puede ser implementado centralmente por un SOC (Centro de Operaciones de Seguridad), recolectando y registrando datos.",2
RS-AN-5,Análisis (Analysis),"Los procesos se establecen para recibir, analizar y responder a las vulnerabilidades reveladas a la organización de fuentes internas y externas (por ejemplo, pruebas internas, boletines de seguridad o investigadores de seguridad)","Realizar evaluaciones continuas de vulnerabilidad, de acuerdo con el proceso de gestión de vulnerabilidad de la organización, mediante una herramienta designada para todos los sistemas de datos (internos y externos).",(No especificado en el documento),"Puede ser implementado imediante la instalación de una herramienta de evaluación de control de seguridad y evaluando cada pocas semanas, meses (es posible definir tiempos específicos para diversos entornos).",2
RS-AN-5,Análisis (Analysis),"Los procesos se establecen para recibir, analizar y responder a las vulnerabilidades reveladas a la organización de fuentes internas y externas (por ejemplo, pruebas internas, boletines de seguridad o investigadores de seguridad)",Verificar que la herramienta de evaluación de control de seguridad esté siempre actualizada y que contenga todas las vulnerabilidades descubiertas e informadas,"Verificar que la herramienta de evaluación sea actualizable, con licencia (por lo tanto, regularmente actualizada) y actualizada",Se puede evaluar con las fechas de actualización de la lista de vulnerabilidades. Verificar que la comunicación con el sitio de actualización del proveedor o la existencia de un sitio espejo se encuentra dentro de la organización,2
RS-AN-5,Análisis (Analysis),"Los procesos se establecen para recibir, analizar y responder a las vulnerabilidades reveladas a la organización de fuentes internas y externas (por ejemplo, pruebas internas, boletines de seguridad o investigadores de seguridad)","La organización debe validar las vulnerabilidades detectadas por el sistema automático, mediante un proceso interno, incluida una evaluación de las vulnerabilidades identificadas en otros sistemas.","La organización definirá un proceso de validación, tratando, al menos, las vulnerabilidades críticas detectadas, verificando, manual o automáticamente, la existencia de estas vulnerabilidades en otros sistemas.","Por ejemplo, si un  vulnerabilidad crítica se descubre en Windows, o en la base de datos del sistema, es posible evaluar servidores no actualizados, ejecutando la misma versión con una herramienta.",4
RS-AN-5,Análisis (Analysis),"Los procesos se establecen para recibir, analizar y responder a las vulnerabilidades reveladas a la organización de fuentes internas y externas (por ejemplo, pruebas internas, boletines de seguridad o investigadores de seguridad)","Verificar la armonía de los resultados de las diferentes herramientas de evaluación de control de seguridad implementadas en la organización, para obtener una situación actual completa de varias vulnerabilidades","Verifique que todas las herramientas de evaluación y control de vulnerabilidades estén vinculadas a un sistema central, a fin de obtener una situación actual unificada de todas las vulnerabilidades y controles","Puede hacerse estableciendo una interfaz entre el escaneo de vulnerabilidades y las herramientas de Patch Management a una interfaz central, como SIEM, o herramientas de datos / análisis / BI, para producir un informe de vulnerabilidad que abarque",4
