cidr_block,is_internal,scope,description
0.0.0.0/8,FALSE,Software,Current network (only valid as source address)
10.0.0.0/8,TRUE,Class A (Private Network),Used for local communications within a private network
100.64.0.0/10,FALSE,Private Network,Shared address space for communications between a service provider and its subscribers when using a carrier-grade NAT
127.0.0.0/8,TRUE,Host,Used for loopback addresses to the local host
169.254.0.0/16,FALSE,Subnet,Used for link-local addresses between two hosts on a single link when no IP address is otherwise specified such as would have normally been retrieved from a DHCP server
172.16.0.0/12,TRUE,Class B (Private Network),Used for local communications within a private network
192.0.0.0/24,FALSE,Private Network,IETF Protocol Assignments
192.0.2.0/24,FALSE,Documentation,Assigned as TEST-NET-1 documentation and examples
192.168.0.0/16,TRUE,Class C (Private Network),Reserved. Formerly used for  IPv6 to IPv4 relay (included IPv6 address block 2002::/16)
192.18.0.0/15,FALSE,Private Network,Used for local communications within a private network
192.51.100.0/24,FALSE,Documentation,Used for benchmark testing of inter-network communications between two separate subnets
192.88.99.0/24,FALSE,Internet,Assigned as TEST-NET-2 documentation and examples
203.0.113.0/24,FALSE,Documentation,Assigned as TEST-NET-3 documentation and examples
224.0.0.0/4,FALSE,Internet,In use for IP multicast. (Former Class D network)
240.0.0.0/4,FALSE,Internet,Reserved for future use. (Former Class E network)
255.255.255.255/32,FALSE,Subnet,Reserved for the -limited broadcast- destination address
10.0.1.233/32,TRUE,IRS 1075 Specific Server Example,This is a placeholder for identifying a single IP address for in scope systems. This could be useful to track access between known internal IP ranges and IRS 1075 systems
