message_id,audit_class,event_class,"sap_message",new_in_release,action,signature_id
AU1,Dialog Logon,Severe,"Logon successful (type=&A, method=&C)",,success,LL01
AU2,Dialog Logon,Critical,"Logon failed (reason=&B, type=&A, method=&C)",,failure,LL03
AUC,Dialog Logon,Non-Critical,"User Logoff",,success,LL02
AUM,Dialog Logon,Critical with Monitor Alert,"User &B Locked in Client &A After Erroneous Password Checks",,,SA08
AUN,Dialog Logon,Critical,"User &B in Client &A Unlocked After Being Locked Due to Inval.Password Entered",,,SA09
AUO,Dialog Logon,Severe,"Logon Failed (Reason = &B, Type = &A)",,failure,LL03
BUD,Dialog Logon,Critical,"WS: Delayed logon failed (type &B, WP &C). Refer to Web service log &A.",,failure,LL03
BUE,Dialog Logon,Non-Critical,"WS: Delayed logon successful (type &B, WP &C). Refer to Web service log &A.",,success,LL01
BUI,Dialog Logon,Critical,"SPNego replay attack detected (UPN=&A)",,failure,LL03
BUK,Dialog Logon,Non-Critical,"&A assertion used",,success,LL01
BUL,Dialog Logon,Non-Critical,"&A: &B",,success,LL01
BUM,Dialog Logon,Non-Critical,"Name ID of a subject",,success,LL01
BUN,Dialog Logon,Non-Critical,"Attribute",,success,LL01
BUO,Dialog Logon,Non-Critical,"Authentication assertion",,success,LL01
BUP,Dialog Logon,Non-Critical,"&A",,success,LL01
BUQ,Dialog Logon,Non-Critical,"Signed LogoutRequest accepted",,success,LL02
BUR,Dialog Logon,Non-Critical,"Unsigned LogoutRequest accepted",,success,LL02
CU2,Dialog Logon,Severe,"OAuth 2.0: Invalid access token received (reason=&A)",740,failure,LL03
CU3,Dialog Logon,Severe,"OAuth 2.0: Insufficient OAuth 2.0 scope for requested resource (user=&A)",740,failure,LL03
CU4,Dialog Logon,Critical,"OAuth 2.0: Logged-on client user &A not same as parameter client ID &B",740,modified,CC02
CU5,Dialog Logon,Severe,"OAuth 2.0: Client &A requested invalid access grant type &B",740,failure,LL03
CU6,Dialog Logon,Critical,"OAuth 2.0: Client ID &A in SAML assertion not same as client ID &B in request",740,failure,LL03
CU7,Dialog Logon,Severe,"OAuth 2.0: Scope &B not permitted for client &C, user &D (cause=&A)",740,failure,LL03
CU8,Dialog Logon,Non-Critical,"OAuth 2.0: Access token issued (client=&A, user=&B, grant type=&C)",740,success,LL01
CU9,Dialog Logon,Non-Critical,"OAuth 2.0: Valid access token received for user &A",740,success,LL01
CUA,Dialog Logon,Severe,"Rejected Assertion",,success,LL01
CUB,Dialog Logon,Severe,"&A: &B",,success,LL01
CUC,Dialog Logon,Severe,"&A",,success,LL01
CUD,Dialog Logon,Severe,"Name ID of a subject",,success,LL01
CUE,Dialog Logon,Severe,"Attribute",,success,LL01
CUF,Dialog Logon,Severe,"Authentication Assertion",,success,LL01
