check_name,details_search_macro,details_search_label
"Detection has a Contributing Event Search",get_contributing_search_details,"Has Search?"
"Detection has Next Steps Defined",get_next_steps_details,"Has Next Steps?"
"Detection generates Findings",get_notable_details,"Generates Findings?"
"Detection generates Risk observations",get_risk_details,"Contributes Risk?"
"Detection uses Threat Intelligence Management Action",get_tim_details,"Uses Threat Intelligence Management?"
"Detection is mapped to MITRE Att&ck",get_mitre_details,"Mapped to MITRE?"
"Detection is mapped to CIS20",get_cis20_details,"Mapped to CIS20?"
"Detection is mapped to NIST",get_nist_details,"Mapped to NIST?"
"Detection is mapped to KillChain",get_killchain_details,"Mapped to KillChain?"
"Detection is mapped to Atomic Red Team Tests",get_atomic_red_team_details,"Mapped to Atomic Red Team?"
"Detection is Throttled",get_throttling_details,"Has Throttling Enabled?"
"Detection uses Other Actions",get_other_actions_details,"Uses other Actions?"
"Detection has multiple Drilldown Searches",get_contributing_searches_details,"Has Multiple Searches?"
"Risk Rule with Risk Object Defined",get_risk_rule_risk_obj_details,"Has Risk Object Defined?"
"Risk Rule with Threat Object Defined",get_risk_rule_threat_obj_details,"Has Threat Object Defined?"
"Detection has a Security Domain",get_domain_details,"Has Security Domain Defined?"
"Detection is based on Index time",get_index_time_details,"Is based on Index time?"
"Detection has a Drilldown Dashboard",get_drilldown_dashboard_details,"Has a Drilldown Dashboard?"
"Detection has Default Values Set",get_default_values_details,"Has Default Values Set?"
"Detection has Filter Values (ESCU, macro-based)",get_escu_macro_filter_details,"Has Filter Values Set?"
"Detection has a Data Source Defined",get_data_source_details,"Has Data Source?"
