"tag","name","framework","description","url"
"cis8-1","CIS 8 - Inventory and Control of Enterprise Assets","CIS v8","Actively manage (inventory, track, and correct) all enterprise assets (end-user devices, including portable and mobile; network devices; non-computing/Internet of Things (IoT) devices; and servers) connected to the infrastructure physically, virtually, remotely, and those within cloud environments, to accurately know the totality of assets that need to be monitored and protected within the enterprise. This will also support identifying unauthorized and unmanaged assets to remove or remediate.","https://csf.tools/reference/critical-security-controls/version-8/csc-1/"
"cis8-2","CIS 8 - Inventory and Control of Software Assets","CIS v8","Actively manage (inventory, track, and correct) all software (operating systems and applications) on the network so that only authorized software is installed and can execute, and that unauthorized and unmanaged software is found and prevented from installation or execution.","https://csf.tools/reference/critical-security-controls/version-8/csc-2/"
"cis8-3","CIS 8 - Data Protection","CIS v8","Develop processes and technical controls to identify, classify, securely handle, retain, and dispose of data.","https://csf.tools/reference/critical-security-controls/version-8/csc-3/"
"cis8-4","CIS 8 - Secure Configuration of Enterprise Assets and Software","CIS v8","Establish and maintain the secure configuration of enterprise assets (end-user devices, including portable and mobile; network devices; non-computing/IoT devices; and servers) and software (operating systems and applications).","https://csf.tools/reference/critical-security-controls/version-8/csc-4/"
"cis8-5","CIS 8 - Account Management","CIS v8","Use processes and tools to assign and manage authorization to credentials for user accounts, including administrator accounts, as well as service accounts, to enterprise assets and software.","https://csf.tools/reference/critical-security-controls/version-8/csc-5/"
"cis8-6","CIS 8 - Access Control Management","CIS v8","Use processes and tools to create, assign, manage, and revoke access credentials and privileges for user, administrator, and service accounts for enterprise assets and software.","https://csf.tools/reference/critical-security-controls/version-8/csc-6/"
"cis8-7","CIS 8 - Continuous Vulnerability Management","CIS v8","Develop a plan to continuously assess and track vulnerabilities on all enterprise assets within the enterprise's infrastructure, in order to remediate, and minimize, the window of opportunity for attackers. Monitor public and private industry sources for new threat and vulnerability information.","https://csf.tools/reference/critical-security-controls/version-8/csc-7/"
"cis8-8","CIS 8 - Audit Log Management","CIS v8","Collect, alert, review, and retain audit logs of events that could help detect, understand, or recover from an attack.","https://csf.tools/reference/critical-security-controls/version-8/csc-81/"
"cis8-9","CIS 8 - Email and Web Browser Protection","CIS v8","Improve protections and detections of threats from email and web vectors, as these are opportunities for attackers to manipulate human behavior through direct engagement.","https://csf.tools/reference/critical-security-controls/version-8/csc-9/"
"cis8-10","CIS 8 - Malware Defenses","CIS v8","Prevent or control the installation, spread, and execution of malicious applications, code, or scripts on enterprise assets.","https://csf.tools/reference/critical-security-controls/version-8/csc-10/"
"cis8-11","CIS 8 - Data Recovery","CIS v8","Establish and maintain data recovery practices sufficient to restore in-scope enterprise assets to a pre-incident and trusted state.","https://csf.tools/reference/critical-security-controls/version-8/csc-11/"
"cis8-12","CIS 8 - Network Infrastructure Management","CIS v8","Establish, implement, and actively manage (track, report, correct) network devices, in order to prevent attackers from exploiting vulnerable network services and access points.","https://csf.tools/reference/critical-security-controls/version-8/csc-12/"
"cis8-13","CIS 8 - Network Monitoring and Defense","CIS v8","Operate processes and tooling to establish and maintain comprehensive network monitoring and defense against security threats across the enterprise's network infrastructure and user base.","https://csf.tools/reference/critical-security-controls/version-8/csc-13/"
"cis8-14","CIS 8 - Security Awareness and Skills Training","CIS v8","Establish and maintain a security awareness program to influence behavior among the workforce to be security conscious and properly skilled to reduce cybersecurity risks to the enterprise.","https://csf.tools/reference/critical-security-controls/version-8/csc-14/"
"cis8-15","CIS 8 - Service Provider Management","CIS v8","Develop a process to evaluate service providers who hold sensitive data, or are responsible for an enterprise's critical IT platforms or processes, to ensure these providers are protecting those platforms and data appropriately.","https://csf.tools/reference/critical-security-controls/version-8/csc-15/"
"cis8-16","CIS 8 - Application Software Security","CIS v8","Manage the security life cycle of in-house developed, hosted, or acquired software to prevent, detect, and remediate security weaknesses before they can impact the enterprise.","https://csf.tools/reference/critical-security-controls/version-8/csc-16/"
"cis8-17","CIS 8 - Incident Response Management","CIS v8","Establish a program to develop and maintain an incident response capability (e.g., policies, plans, procedures, defined roles, training, and communications) to prepare, detect, and quickly respond to an attack.","https://csf.tools/reference/critical-security-controls/version-8/csc-17/"
"cis8-18","CIS 8 - Penetration Testing","CIS v8","Test the effectiveness and resiliency of enterprise assets through identifying and exploiting weaknesses in controls (people, processes, and technology), and simulating the objectives and actions of an attacker.","https://csf.tools/reference/critical-security-controls/version-8/csc-18/"
