asset,asset_tag,category,ip,pci_domain,priority,description
0.0.0.0/8,iana_special_use,iana_special_use,0.0.0.0/8,untrust,low,"Current (local, ""this"") network"
10.0.0.0/8,iana_special_use,iana_special_use,10.0.0.0/8,untrust,low,Used for local communications within a private network.
100.64.0.0/10,iana_special_use,iana_special_use,100.64.0.0/10,untrust,low,Shared address space for communications between a service provider and its subscribers when using a carrier-grade NAT.
127.0.0.0/8,iana_special_use,iana_special_use,127.0.0.0/8,untrust,low,Used for loopback addresses to the local host.
169.254.0.0/16,iana_special_use,iana_special_use,169.254.0.0/16,untrust,low,"Used for link-local addresses between two hosts on a single link when no IP address is otherwise specified, such as would have normally been retrieved from a DHCP server."
172.16.0.0/12,iana_special_use,iana_special_use,172.16.0.0/12,untrust,low,Used for local communications within a private network.
192.0.0.0/24,iana_special_use,iana_special_use,192.0.0.0/24,untrust,low,"IETF Protocol Assignments, DS-Lite (/29)."
192.0.2.0/24,iana_special_use,iana_special_use,192.0.2.0/24,untrust,low,"Assigned as TEST-NET-1, documentation and examples."
192.88.99.0/24,iana_special_use,iana_special_use,192.88.99.0/24,untrust,low,Reserved. Formerly used for IPv6 to IPv4 relay (included IPv6 address block 2002::/16).
192.168.0.0/16,iana_special_use,iana_special_use,192.168.0.0/16,untrust,low,Used for local communications within a private network.
198.18.0.0/15,iana_special_use,iana_special_use,198.18.0.0/15,untrust,low,Used for benchmark testing of inter-network communications between two separate subnets.
198.51.100.0/24,iana_special_use,iana_special_use,198.51.100.0/24,untrust,low,"Assigned as TEST-NET-2, documentation and examples."
203.0.113.0/24,iana_special_use,iana_special_use,203.0.113.0/24,untrust,low,"Assigned as TEST-NET-3, documentation and examples."
224.0.0.0/4,iana_special_use,iana_special_use,224.0.0.0/4,untrust,low,In use for IP multicast. (Former Class D network.)
233.252.0.0/24,iana_special_use,iana_special_use,233.252.0.0/24,untrust,low,"Assigned as MCAST-TEST-NET, documentation and examples."
240.0.0.0/4,iana_special_use,iana_special_use,240.0.0.0/4,untrust,low,Reserved for future use. (Former Class E network.)
255.255.255.255/32,iana_special_use,iana_special_use,255.255.255.255/32,untrust,low,"Reserved for the ""limited broadcast"" destination address."
::/128,iana_special_use,iana_special_use,::/128,untrust,low,Unspecified address
::1/128,iana_special_use,iana_special_use,::1/128,untrust,low,"Loopback address virtual interface that loops all traffic back to itself, the local host"
::ffff:0:0/96,iana_special_use,iana_special_use,::ffff:0:0/96,untrust,low,IPv4-mapped addresses
::ffff:0:0:0/96,iana_special_use,iana_special_use,::ffff:0:0:0/96,untrust,low,IPv4 translated addresses
64:ff9b::/96,iana_special_use,iana_special_use,64:ff9b::/96,untrust,low,IPv4/IPv6 translation
64:ff9b:1::/48,iana_special_use,iana_special_use,64:ff9b:1::/48,untrust,low,IPv4/IPv6 translation
100::/64,iana_special_use,iana_special_use,100::/64,untrust,low,Discard prefix
2001:0000::/32,iana_special_use,iana_special_use,2001:0000::/32,untrust,low,Teredo tunneling
2001:20::/28,iana_special_use,iana_special_use,2001:20::/28,untrust,low,ORCHIDv2
2001:db8::/32,iana_special_use,iana_special_use,2001:db8::/32,untrust,low,Addresses used in documentation and example source code
2002::/16,iana_special_use,iana_special_use,2002::/16,untrust,low,The 6to4 addressing scheme (deprecated)
fc00::/7,iana_special_use,iana_special_use,fc00::/7,untrust,low,Unique local address
fe80::/64 from fe80::/10,iana_special_use,iana_special_use,fe80::/64 from fe80::/10,untrust,low,Link-local address
ff00::/8,iana_special_use,iana_special_use,ff00::/8,untrust,low,Multicast address
