CATEGORY,PRIORITY,NAME,DESCRIPTION
ABAP Security Parameters,Medium,Global authorization checks,Profile parameter auth/object_disabling_active should be set to the value N
ABAP Security Parameters,High,Authorization checks for RFMs,Profile parameter auth/rfc_authority_check should be set to the value 1 or 6
ABAP Security Parameters,Low,Gateway trace levels,Profile parameter gw/accept_remote_trace_level should be set to the value 0
ABAP Security Parameters,Medium,Remote external and registered servers,Profile parameter gw/acl_mode should be set to the value 1
ABAP Security Parameters,Medium,Gateway Logging,"Profile parameter gw/acl_mode should include the option and value ACTION=SsPXM if you are not using the Cybersecurity Extension for SAP.

If you are using the Cybersecurity Extension for SAP, the option and value should be ACTION=SsPXMZEXR."
ABAP Security Parameters,Medium,Gateway proxy settings,"Profile parameter gw/prxy_info should be set to the following value:

$(DIR_GLOBAL)$(DIR_SEP)prxyinfo$(FT_DAT)"
ABAP Security Parameters,Medium,External security filename for gateway,"Profile parameter gw/reg_info should be set to the following value:

$(DIR_GLOBAL)$(DIR_SEP)reginfo$(FT_DAT)"
ABAP Security Parameters,Medium,Security levels for sec_info and reg_info,Profile parameter gw/reg_no_conn_info should be set to the value 255
ABAP Security Parameters,Medium,Security levels for sec_info and reg_info,"Profile parameter gw/sec_info should be set to the following value:

$(DIR_GLOBAL)$(DIR_SEP)secinfo$(FT_DAT)"
ABAP Security Parameters,Medium,Set HTTPonly-Flag for Cookies,Profile parameter icf/set_HTTPonly_flag_on_cookies should be set to the value 0
ABAP Security Parameters,Medium,Logon data check for HTTP queries for an existing HTTP session,Profile parameter icf/user_recheck should be set to the value 1
ABAP Security Parameters,Medium,Accept external switch of trace level,Profile parameter icm/accept_remote_trace_level should be set to the value 0
ABAP Security Parameters,Medium,Specify HTTP logging in ICM,"Profile parameter icm/HTTP/logging_0 should include the option and value LOGFORMAT=%t %a %u - ""%r"" %s %b %Lms %{Host}i %P %w1 %w2%y1 %y2 if you are not using the Cybersecurity Extension for SAP.

If you are using the Cybersecurity Extension for SAP, the option and value should be LOGFORMAT=CLF for the Common Log Format."
ABAP Security Parameters,Medium,Specify HTTP client log,"Profile parameter icm/HTTP/logging_client_0 should be set to the following value:

PREFIX=/,LOGFILE=$(DIR_LOGGING)$(DIR_SEP)http-client-$(SAPSYSTEMNAME)-$(SAPLOCALHOST)-%y%m,MAXSIZEKB=10000,SWITCHTF=month, LOGFORMAT=%t %a %u - ""%r"" %s %b %Lms %{Host}i %P %w1 %w2%y1 %y2"
ABAP Security Parameters,Medium,HTTP redirect specification,"Profile parameter icm/HTTP/redirect_0 should be set to the following value:

PREFIX=/, FROM=*, FROMPROT=http, PROT=https, HOST=$(SAPLOCALHOSTFULL), PORT=443$$"
ABAP Security Parameters,Medium,Require SSL Client Certificate,Profile parameter icm/HTTPS/verify_client should be set to the value 1
ABAP Security Parameters,Medium,Configuration of ICM security log,"Profile parameter icm/security_log should be set to the following value:

LOGFILE=dev_icm_sec-%y%m,LEVEL=3,MAXSIZEKB=10000,SWITCHTF=month"
ABAP Security Parameters,Medium,Form of HTTP error pages,Profile parameter is/HTTP/show_detailed_errors should be set to the value FALSE
ABAP Security Parameters,Medium,HTTP headers with the server entries,Profile parameter is/HTTP/show_server_header should be set to the value FALSE
ABAP Security Parameters,Medium,Default processing restriction of iXML for DTDs,Profile parameter ixml/dtd_restriction should be set to the value prohibited
ABAP Security Parameters,Medium,Permit or prevent logon with an SSO ticket,Profile parameter login/accept_sso2_ticket should be set to the value 1
ABAP Security Parameters,Medium,Permit generation of SSO tickets,Profile parameter login/create_sso2_ticket_ticket should be set to the value 2 or 3
ABAP Security Parameters,Medium,Disable automatic unlocking of locked user at midnight,Profile parameter login/failed_user_auto_unlock should be set to the value 0
ABAP Security Parameters,Medium,Number of invalid login attempts until session ends,Profile parameter login/fails_to_session_end should be set to a value between 1 and 3
ABAP Security Parameters,Medium,Maximum number of failed attempts before user is locked,Profile parameter login/fails_to_user_lock should be set to a value between 1 and 6
ABAP Security Parameters,Medium,Number of different characters: Old/new password,Profile parameter login/min_password_diff should be set to the value 1 or higher
ABAP Security Parameters,Medium,Minimum number of digits in passwords,Profile parameter login/min_password_digits should be set to the value 1 or higher
ABAP Security Parameters,Medium,Minimum number of letters in passwords,Profile parameter login/min_password_letters should be set to the value 1 or higher
ABAP Security Parameters,Medium,Minimum password length,Profile parameter login/min_password_lng should be set to the value 15 or higher
ABAP Security Parameters,Medium,Minimum number of lowercase letters in passwords,Profile parameter login/min_password_lowercase should be set to the value 1 or higher
ABAP Security Parameters,Medium,Minimum number of special characters in passwords,Profile parameter login/min_password_specials should be set to the value 1 or higher
ABAP Security Parameters,Medium,Minimum number of uppercase letters in passwords,Profile parameter login/min_password_uppercase should be set to the value 1 or higher
ABAP Security Parameters,High,"Control of the automatic login user SAP*	",Profile parameter login/no_automatic_user_sapstar should be set to the value 1
ABAP Security Parameters,Low,Wait time between two password changes,Profile parameter login/password_change_waittime should be set to the value 1 or higher
ABAP Security Parameters,Medium,Password must fulfill the current password rules,Profile parameter login/password_compliance_to_current_policy should be set to the value 1
ABAP Security Parameters,High,Backward Compatibility of Passwords,Profile parameter login/password_downwards_compatibility should be set to the value 0
