id,category,title,indexName,statement,hint,placeholder,logPreviewSpl,referenceSpl
b1,Beginner,5xx event count (stats),tutorial_b1,Count events whose HTTP status is in the 5xx range. Use status filtering and stats count. Return exactly one row.,"Filter to 5xx with status>=500, then stats count.","index=tutorial_b1
(filter to 5xx, then count)",| sort - _time | head 100,| status>=500 | stats count
b2,Beginner,Distinct clientip count (dedup),tutorial_b2,Count how many distinct clientip values appear. Use dedup and stats count (or stats dc(clientip)). Return exactly one row.,"After dedup clientip, stats count; or stats dc(clientip).","index=tutorial_b2
(count distinct clientip)",| sort - _time | head 100,| dedup clientip | stats count
b3,Beginner,Top 3 status by frequency (top),tutorial_b3,Show the three status values with the highest counts. Use top.,top 3 status returns the top three by count.,"index=tutorial_b3
(top 3 statuses by count)",| sort - _time | head 100,| top 3 status
m1,Intermediate,5xx counts over time (timechart),tutorial_m1,Plot 5xx counts in one-hour buckets over time. Use timechart with span=1h. Expect multiple rows (one per hour).,"Filter 5xx with status>=500, then timechart span=1h count.","index=tutorial_m1
(5xx per hour)",| sort - _time | head 100,| status>=500 | timechart span=1h count
m2,Intermediate,Session count (transaction),tutorial_m2,"Extract session_id from Cookie and count how many sessions there are. Use transaction and stats count. Return exactly one row.<br><br><div class=""sl-extract-sample"" role=""note""><span class=""sl-extract-sample-label""><strong>Field extraction sample</strong>:</span> <span class=""sl-extract-sample-text"">rex to extract session_id from cookie:</span> <span class=""sl-mono-spl"">rex field=cookie ""session_id=(?&lt;session_id&gt;[^;\s]+)""</span></div>","After rex pulls session_id, group with transaction by session_id, then stats count.","index=tutorial_m2
(extract session_id, transaction, count)",| sort - _time | head 100,"| rex field=cookie ""session_id=(?<session_id>[^;\s]+)"" | sort _time | transaction session_id | stats count"
m3,Intermediate,Geo counts (geostats),tutorial_m3,"Extract lat and lon from URI, then aggregate counts with geostats. Use rex and geostats. For geostats count, specify only latfield and longfield.<br><br><div class=""sl-extract-sample"" role=""note""><span class=""sl-extract-sample-label""><strong>Field extraction sample</strong>:</span> <span class=""sl-extract-sample-text"">rex to extract lat/lon from uri:</span> <span class=""sl-mono-spl"">rex field=uri ""lat=(?&lt;lat&gt;[0-9.]+)&amp;lon=(?&lt;lon&gt;[0-9.]+)""</span></div>","rex lat/lon, then geostats count latfield=lat longfield=lon.","index=tutorial_m3
(geostats with latfield=lat longfield=lon)",| sort - _time | head 100,"| rex field=uri ""lat=(?<lat>[0-9.]+)&lon=(?<lon>[0-9.]+)"" | where isnotnull(lat) | geostats count latfield=lat longfield=lon"
m4,Intermediate,eval labels (ok / client / server),tutorial_m4,"Classify status into ok (<400), client (4xx), and server (5xx), then count events per class. Use eval with case and stats count. Return three rows.","err_type=case(status<400,""ok"",status<500,""client"",true(),""server"") then stats count by err_type.","index=tutorial_m4
(classify with case, count by class)",| sort - _time | head 100,"| eval err_type=case(status<400,""ok"",status<500,""client"",true(),""server"") | stats count by err_type"
a1,Advanced,Max cumulative sequence (streamstats),tutorial_a1,Return the maximum of the running count from streamstats as a single number. Use streamstats and stats max. Return exactly one row.,"streamstats count as seq, then stats max.","index=tutorial_a1
(streamstats then max)",| sort - _time | head 100,| streamstats count as seq | stats max(seq)
a2,Advanced,"order_id via rex, top 3",tutorial_a2,"Extract order_id from uri and show the three most frequent values. Use rex and top. Return three rows.<br><br><div class=""sl-extract-sample"" role=""note""><span class=""sl-extract-sample-label""><strong>Extraction sample</strong>:</span> <span class=""sl-extract-sample-text"">rex to extract order_id from uri:</span> <span class=""sl-mono-spl"">rex field=uri ""(?&lt;order_id&gt;\d+)$""</span></div>","rex field=uri end anchor, then top 3 order_id.","index=tutorial_a2
(top 3 order_id)",| sort - _time | head 100,"| rex field=uri ""(?<order_id>\d+)$"" | top 3 order_id"
a3,Advanced,All requests from IPs that ever returned 5xx (subsearch),tutorial_a3,"Restrict to clientip that returned at least one 5xx, then count all requests from those IPs in one row. Pass the subsearch inside join [ search ... ], ending with stats count. Return exactly one row.",Outer search on tutorial_a3 joined to subsearch listing clientips with 5xx.,"index=tutorial_a3
(subsearch + join + count)",| sort - _time | head 100,| join type=inner clientip [ search index=tutorial_a3 status>=500 | fields clientip | dedup clientip ] | stats count
a4,Advanced,Requests slower than per-method average (eventstats),tutorial_a4,"From Cookie rt= (milliseconds) build response_ms, then count events slower than the per-method average. Use rex, eventstats, where, and stats count. Return exactly one row.<br><br><div class=""sl-extract-sample"" role=""note""><span class=""sl-extract-sample-label""><strong>Extraction sample</strong>:</span> <span class=""sl-extract-sample-text"">rex to extract response_ms from cookie:</span> <span class=""sl-mono-spl"">rex field=cookie ""rt=(?&lt;response_ms&gt;[0-9]+)""</span></div>","eventstats avg(response_ms) by method, where response_ms > avg_ms, stats count.","index=tutorial_a4
(slower than method average)",| sort - _time | head 100,"| rex field=cookie ""rt=(?<response_ms>[0-9]+)"" | eventstats avg(response_ms) as avg_ms by method | where response_ms > avg_ms | stats count"
a5,Advanced,Daily event counts (bin),tutorial_a5,Count events per calendar day. Use bin (or bucket) and stats count. Expect multiple rows (one per day).,bin _time span=1d then stats count by _time.,"index=tutorial_a5
(daily buckets)",| sort - _time | head 100,| bin _time span=1d | stats count by _time
