"use_case","bookmark","completed"
"*Nix CPU utilization nearing capacity","no","no"
"*Nix host stops reporting data","no","no"
"*Nix hosts with NFS connectivity issues","no","no"
"*Nix memory utilization nearing capacity","no","no"
".NET assemblies being compiled","no","no"
"ATM withdrawal near threshold","no","no"
"ATM withdrawal testing","no","no"
"Access to unencrypted resources","no","no"
"Activity from expired user identity","no","no"
"Algorithmically generated domain names","no","no"
"All Windows events on a host","no","no"
"All logs and events on a *nix host","no","no"
"Analyzing AWS service action errors","no","no"
"Analyzing credit limit increase requests","no","no"
"Analyzing wire data from databases","no","no"
"Anomaly probability calculation with JA3/JA3s hashes","no","no"
"Application error tracing","no","no"
"Applying Benford's law of distribution to spot fraud","no","no"
"Assessing the financial impact of eCommerce checkout errors","no","no"
"Auditing with the Splunk App for PCI Compliance","no","no"
"Automating Know Your Customer continuous monitoring requirements","no","no"
"Automating the investigation of emails for malicious content","no","no"
"Azure Active Directory audit events","no","no"
"Azure Active Directory users with no access for extended periods","no","no"
"Azure critical infrastructure health","no","no"
"Azure load balancers with no healthy instances","no","no"
"Azure public storage blobs with anonymous access traffic","no","no"
"Azure resources with no associated tags","no","no"
"Azure resources with non-compliant policy rules","no","no"
"Azure security policy review","no","no"
"Azure storage blobs made public and by who","no","no"
"Badge activity monitoring","no","no"
"Baseline of user logon times","no","no"
"Bcdedit boot recovery modifications","no","no"
"Becoming more effective monitoring Kubernetes at scale","no","no"
"Blocked traffic from host","no","no"
"Blocked traffic to host","no","no"
"CPU utilization of Elastic Compute Cloud (EC2) instances","no","no"
"Capacity utilization runway in Dell Isilon NAS","no","no"
"Changes in DNS record type queries","no","no"
"Changes made to AWS cloud infrastructure","no","no"
"Checking for files created on a system","no","no"
"Cluster throughput in Dell Isilon NAS","no","no"
"Complying with General Data Protection Regulation","no","no"
"Complying with the HIPAA Security Rule for ePHI","no","no"
"Complying with the Markets in Financial Instruments Directive II","no","no"
"Configuring AWS CloudTrail and CloudWatch data collection","no","no"
"Connections between network devices and an individual machine","no","no"
"Creating a timebound picture of network activity","no","no"
"Critical AWS Lambda metrics","no","no"
"Current state of Windows services on a host","no","no"
"DLL loaded in a specific process","no","no"
"DNS queries to randomized subdomains","no","no"
"DNS tunneling through randomized subdomains","no","no"
"Defining and detecting Personally Identifiable Information (PII) in log data","no","no"
"Deploying Workload Identity Federation between AWS and GCP","no","no"
"Deploying the Splunk OpenTelemetry Collector to gather Kubernetes metrics","no","no"
"Detecting ATM fraud","no","no"
"Detecting AWS network ACL activity","no","no"
"Detecting AWS security hub alerts","no","no"
"Detecting AWS suspicious provisioning activities","no","no"
"Detecting BlackMatter ransomware","no","no"
"Detecting Clop ransomware","no","no"
"Detecting DarkSide ransomware","no","no"
"Detecting FIN7 attacks","no","no"
"Detecting IcedID attacks","no","no"
"Detecting Log4j remote code execution","no","no"
"Detecting Netsh attacks","no","no"
"Detecting Office 365 attacks","no","no"
"Detecting Operational Technology assets communicating with external systems","no","no"
"Detecting Personally Identifiable Information (PII) in log data for GDPR Compliance","no","no"
"Detecting REvil ransomware infections","no","no"
"Detecting Supernova web shell malware","no","no"
"Detecting TOR traffic","no","no"
"Detecting Trickbot attacks","no","no"
"Detecting WhisperGate malware","no","no"
"Detecting Windows BITS abuse","no","no"
"Detecting Windows file extension abuse","no","no"
